NOC,Year,Predicted_Gold
AFG,2024,0.08170454312319464
AHO,2024,0.07259387133992856
ALB,2024,0.20113027016370655
ALG,2024,2.033874005003752
AND,2024,0.15003111412082148
ANG,2024,0.6886956104718349
ANT,2024,0.16427639377393888
ARG,2024,7.473743734817212
ARM,2024,3.0206187893826217
ARU,2024,0.19316844823834245
ASA,2024,0.1369987219527733
AUS,2024,43.07939773217613
AUT,2024,5.8507353031269185
AZE,2024,6.5072871846890195
BAH,2024,2.491727852482965
BAN,2024,0.26683936434983657
BAR,2024,0.3412129834141391
BDI,2024,0.36254440318205017
BEL,2024,8.576222508716356
BEN,2024,0.2080552164382592
BER,2024,1.0022400354563263
BHU,2024,0.05962193307149288
BIH,2024,0.325699066196937
BIZ,2024,0.06282355578846222
BLR,2024,8.481527882716058
BOH,2024,1.4329111540716335
BOL,2024,0.3090673134560209
BOT,2024,0.9519447746515537
BRA,2024,25.56085706689153
BRN,2024,1.3196474976791102
BRU,2024,0.05192795153786989
BUL,2024,5.717974968169654
BUR,2024,0.5872109272058719
CAF,2024,0.17087298968434173
CAM,2024,0.176320791809637
CAN,2024,24.4698233097996
CAY,2024,0.1636965897855962
CGO,2024,0.26821916185864314
CHA,2024,0.010319754346352461
CHI,2024,1.6610209336138642
CHN,2024,72.5766960210902
CIV,2024,1.2543879045795938
CMR,2024,0.5622855472774058
COD,2024,0.14244652407806946
COK,2024,0.30032182870494584
COL,2024,6.5536357712765305
COM,2024,0.07052059250757381
CPV,2024,0.19312544512652696
CRC,2024,0.4506094881035807
CRO,2024,8.132451013165102
CUB,2024,13.580576317045034
CYP,2024,0.796209551785906
CZE,2024,10.625589168509784
DEN,2024,10.910460482386526
DJI,2024,0.17872242100614066
DMA,2024,-0.005943756176882253
DOM,2024,3.0294554009921972
ECU,2024,3.075383270981041
EGY,2024,7.422913922864351
ERI,2024,0.24886541127454986
ESA,2024,0.3427625702406374
ESP,2024,19.891800394566815
EST,2024,2.8539580735044234
ETH,2024,3.8717422844091742
FIJ,2024,2.6081473890951665
FIN,2024,3.1537804871753905
FRA,2024,50.436027711004165
FRG,2024,40.19486182087324
FSM,2024,0.12472943056435426
GAB,2024,0.4202477158287792
GAM,2024,0.1243980810875085
GBR,2024,55.85976119207633
GBS,2024,0.13384010234762123
GDR,2024,82.44573283497347
GEO,2024,5.653602389376073
GEQ,2024,-0.008232938697024572
GER,2024,39.244734795571084
GHA,2024,0.8408797619950619
GRE,2024,5.757937647450492
GRN,2024,0.682299269308908
GUA,2024,1.0392516306637072
GUI,2024,0.14469575867188667
GUM,2024,0.1481857277538845
GUY,2024,0.14517950275141622
HAI,2024,0.37593419109219095
HKG,2024,3.863988205717204
HON,2024,0.6841185882359788
HUN,2024,17.431899154359826
INA,2024,4.030504770733343
IND,2024,6.751906636457186
IOA,2024,1.3327115509596137
IRI,2024,7.63362200773447
IRL,2024,5.532095954580677
IRQ,2024,0.4059478967721919
ISL,2024,0.323957729129444
ISR,2024,4.647531173695418
ISV,2024,0.20838656591510407
ITA,2024,33.866623474856574
IVB,2024,0.06964810023707368
JAM,2024,9.522748605761903
JOR,2024,1.2567199343528852
JPN,2024,50.932197777590176
KAZ,2024,8.710821154755594
KEN,2024,9.728126486520578
KGZ,2024,1.4362674319266935
KIR,2024,0.06278360786213533
KOR,2024,21.235330286245212
KSA,2024,0.737172091915637
KUW,2024,0.7947282526259123
LAO,2024,0.17141413247799697
LAT,2024,2.3229457355194936
LBA,2024,0.28087720143803185
LBR,2024,0.01896917918861618
LCA,2024,0.1392879044729165
LES,2024,0.16470814507672316
LIB,2024,0.40396579813651545
LIE,2024,0.09634291288440622
LTU,2024,2.5701808553307326
LUX,2024,0.4243984195357786
MAD,2024,0.20435239885396328
MAR,2024,2.3566739891459485
MAS,2024,2.7037895319372454
MAW,2024,0.14382326640138743
MDA,2024,1.1818685457201807
MDV,2024,0.08312123337283772
MEX,2024,6.984412773727401
MGL,2024,3.4031925526490014
MHL,2024,0.11212878969909124
MKD,2024,0.469413260622912
MLI,2024,0.18717644813390244
MLT,2024,0.24520055045134015
MNE,2024,1.1077876353914933
MON,2024,0.19673091607037385
MOZ,2024,0.2623765011713992
MRI,2024,0.41061744200915573
MTN,2024,-0.005943756176882253
MYA,2024,0.2356091897740331
NAM,2024,0.5504354683743644
NCA,2024,0.2120463803875854
NED,2024,28.279477097741797
NEP,2024,0.24875097343295138
NGR,2024,2.507017491437571
NIG,2024,0.3538194244042634
NOR,2024,7.034674410158977
NRU,2024,0.037910620422962005
NZL,2024,18.210441620788504
OMA,2024,0.09223190515610469
PAK,2024,0.26231904638448356
PAN,2024,0.45837003390779696
PAR,2024,0.41519275186395177
PER,2024,1.1158089548352423
PHI,2024,2.4166884894656304
PLE,2024,0.19715961218766864
PLW,2024,0.17544829953913776
PNG,2024,0.3247110720645887
POL,2024,14.572550996457664
POR,2024,4.8961940157204715
PRK,2024,5.8985974637549985
PUR,2024,2.535261402398421
QAT,2024,3.294185644506393
ROU,2024,5.770744373851161
RSA,2024,6.810023368305516
RWA,2024,0.16819505897323062
SAM,2024,0.3275208914050962
SCG,2024,9.101476115953862
SEN,2024,0.6282430399022401
SEY,2024,0.33295230676284504
SGP,2024,1.0770977415767655
SKN,2024,0.09043257708647179
SLE,2024,0.08050375656133912
SLO,2024,5.535307127880316
SMR,2024,1.1897898069126969
SOL,2024,0.06365610013263456
SOM,2024,-0.0005359019779129781
SRB,2024,8.904727146839893
SRI,2024,0.38905546877782005
STP,2024,0.06739886564325648
SUD,2024,0.1595855820572929
SUI,2024,11.136130749486668
SUR,2024,0.19175175798869848
SVK,2024,4.235716081380078
SWE,2024,10.482626811948506
SWZ,2024,0.01664004874214875
SYR,2024,0.6892683609973131
TAN,2024,0.1456112540542005
TCH,2024,11.211514785025672
TGA,2024,0.2140072686163732
THA,2024,4.08305964554595
TJK,2024,0.46346848175628974
TKM,2024,0.5472012948336884
TLS,2024,0.05650326139266593
TOG,2024,0.14099294108758986
TPE,2024,7.621506714213268
TTO,2024,1.3728647610024787
TUN,2024,3.1808834935196577
TUR,2024,10.145516031485636
TUV,2024,-0.018216102750789886
UAE,2024,0.43478787778257555
UGA,2024,2.7072945237031782
UKR,2024,15.546537327999157
URU,2024,0.5528284259813852
USA,2024,100.38809613081816
UZB,2024,9.017666434593474
VAN,2024,0.15456647604929152
VEN,2024,3.5944817017648147
VIE,2024,2.147635082191068
VIN,2024,0.07052059250757381
VNM,2024,0.25817854301796217
YEM,2024,0.12385388310836554
YUG,2024,2.6614279794684057
ZAM,2024,0.3591001450297231
ZIM,2024,1.2719948015218456
