,Rank,NOC,Gold,Silver,Bronze,Total,Year
966,51,BEL,1,0,2,3,2004
967,52,BHS,1,0,1,2,2004
968,52,ISR,1,0,1,2,2004
969,54,CMR,1,0,0,1,2004
970,54,DOM,1,0,0,1,2004
971,54,ARE,1,0,0,1,2004
972,57,PRK,0,4,1,5,2004
973,58,LVA,0,4,0,4,2004
974,59,MEX,0,3,1,4,2004
975,60,PRT,0,2,1,3,2004
976,61,FIN,0,2,0,2,2004
977,61,SCG,0,2,0,2,2004
978,63,SVN,0,1,3,4,2004
979,64,EST,0,1,2,3,2004
980,65,HKG,0,1,0,1,2004
981,65,IND,0,1,0,1,2004
982,65,PRY,0,1,0,1,2004
983,68,COL,0,0,2,2,2004
984,68,NGA,0,0,2,2,2004
985,68,VEN,0,0,2,2,2004
986,71,ERI,0,0,1,1,2004
987,71,MNG,0,0,1,1,2004
988,71,SYR,0,0,1,1,2004
989,71,TTO,0,0,1,1,2004
990,1,CHN,48,22,30,100,2008
991,2,USA,36,39,37,112,2008
992,3,RUS,24,13,23,60,2008
993,4,GBR,19,13,19,51,2008
994,5,DEU,16,11,14,41,2008
995,6,AUS,14,15,17,46,2008
996,7,KOR,13,11,8,32,2008
997,8,JPN,9,8,8,25,2008
998,9,ITA,8,9,10,27,2008
999,10,FRA,7,16,20,43,2008
1000,11,NLD,7,5,4,16,2008
1001,12,UKR,7,4,11,22,2008
1002,13,KEN,6,4,6,16,2008
1003,14,ESP,5,11,3,19,2008
1004,15,JAM,5,4,2,11,2008
1005,16,POL,4,5,2,11,2008
1006,17,ETH,4,2,1,7,2008
1007,18,ROU,4,1,4,9,2008
1008,19,CUB,3,10,17,30,2008
1009,20,CAN,3,9,8,20,2008
1010,21,HUN,3,5,2,10,2008
1011,22,NOR,3,5,1,9,2008
1012,23,BRA,3,4,10,17,2008
1013,24,BLR,3,4,7,14,2008
1014,25,CZE,3,3,1,7,2008
1015,26,SVK,3,3,0,6,2008
1016,27,NZL,3,2,4,9,2008
1017,28,GEO,3,2,2,7,2008
1018,29,KAZ,2,3,4,9,2008
1019,30,DNK,2,2,3,7,2008
1020,31,PRK,2,2,2,6,2008
1021,31,THA,2,2,2,6,2008
1022,33,MNG,2,2,0,4,2008
1023,34,CHE,2,1,4,7,2008
1024,35,ARG,2,0,4,6,2008
1025,36,MEX,2,0,2,4,2008
1026,37,BEL,2,0,0,2,2008
1027,38,ZWE,1,3,0,4,2008
1028,39,SVN,1,2,2,5,2008
1029,40,AZE,1,1,4,6,2008
1030,40,IDN,1,1,4,6,2008
1031,42,BGR,1,1,3,5,2008
1032,42,TUR,1,1,3,5,2008
1033,44,TWN,1,1,2,4,2008
1034,44,FIN,1,1,2,4,2008
1035,46,LVA,1,1,1,3,2008
1036,47,DOM,1,1,0,2,2008
1037,47,EST,1,1,0,2,2008
1038,47,PRT,1,1,0,2,2008
1039,47,TTO,1,1,0,2,2008
1040,51,IND,1,0,2,3,2008
1041,52,IRN,1,0,1,2,2008
1042,53,CMR,1,0,0,1,2008
1043,53,PAN,1,0,0,1,2008
1044,53,TUN,1,0,0,1,2008
1045,56,SWE,0,4,1,5,2008
1046,57,LTU,0,3,2,5,2008
1047,57,NGA,0,3,2,5,2008
1048,59,HRV,0,2,3,5,2008
1049,60,COL,0,2,1,3,2008
1050,60,GRC,0,2,1,3,2008
1051,62,ARM,0,1,4,5,2008
1052,63,UZB,0,1,3,4,2008
1053,64,AUT,0,1,2,3,2008
1054,64,IRL,0,1,2,3,2008
1055,64,KGZ,0,1,2,3,2008
1056,64,SRB,0,1,2,3,2008
1057,68,DZA,0,1,1,2,2008
1058,68,BHS,0,1,1,2,2008
1059,68,MAR,0,1,1,2,2008
1060,68,TJK,0,1,1,2,2008
1061,72,CHL,0,1,0,1,2008
1062,72,ECU,0,1,0,1,2008
1063,72,ISL,0,1,0,1,2008
1064,72,MYS,0,1,0,1,2008
1065,72,WSM,0,1,0,1,2008
1066,72,SGP,0,1,0,1,2008
1067,72,ZAF,0,1,0,1,2008
1068,72,SDN,0,1,0,1,2008
1069,72,VNM,0,1,0,1,2008
1070,81,EGY,0,0,2,2,2008
1071,82,AFG,0,0,1,1,2008
1072,82,ISR,0,0,1,1,2008
1073,82,MUS,0,0,1,1,2008
1074,82,MDA,0,0,1,1,2008
1075,82,TGO,0,0,1,1,2008
1076,82,VEN,0,0,1,1,2008
1077,1,USA,48,26,30,104,2012
1078,2,CHN,39,31,22,92,2012
1079,3,GBR,29,18,18,65,2012
1080,4,RUS,18,21,26,65,2012
1081,5,KOR,13,9,9,31,2012
1082,6,DEU,11,20,13,44,2012
1083,7,FRA,11,11,13,35,2012
1084,8,AUS,8,15,12,35,2012
1085,9,ITA,8,9,11,28,2012
1086,10,HUN,8,4,6,18,2012
1087,11,JPN,7,14,17,38,2012
1088,12,IRN,7,5,1,13,2012
1089,13,NLD,6,6,8,20,2012
1090,14,NZL,6,2,5,13,2012
1091,15,UKR,5,4,10,19,2012
1092,16,CUB,5,3,7,15,2012
1093,17,ESP,4,10,6,20,2012
1094,18,JAM,4,5,4,13,2012
1095,19,CZE,4,4,3,11,2012
1096,20,ZAF,4,1,1,6,2012
1097,21,PRK,4,0,2,6,2012
1098,22,BRA,3,5,9,17,2012
1099,23,KAZ,3,2,6,11,2012
1100,23,POL,3,2,6,11,2012
1101,25,ETH,3,2,3,8,2012
1102,26,HRV,3,1,2,6,2012
1103,27,CAN,2,6,10,18,2012
1104,28,BLR,2,5,3,10,2012
1105,29,KEN,2,4,7,13,2012
1106,30,DNK,2,4,3,9,2012
1107,31,ROU,2,4,1,7,2012
1108,32,AZE,2,2,5,9,2012
1109,33,CHE,2,2,0,4,2012
1110,34,NOR,2,1,1,4,2012
1111,35,LTU,2,0,3,5,2012
1112,36,TUN,2,0,1,3,2012
1113,37,SWE,1,4,3,8,2012
1114,38,COL,1,3,5,9,2012
1115,39,MEX,1,3,4,8,2012
1116,40,GEO,1,2,3,6,2012
1117,41,IRL,1,1,4,6,2012
1118,42,ARG,1,1,2,4,2012
1119,42,SRB,1,1,2,4,2012
1120,42,SVN,1,1,2,4,2012
1121,42,TTO,1,1,2,4,2012
1122,46,TUR,1,1,1,3,2012
1123,47,DOM,1,1,0,2,2012
1124,48,TWN,1,0,1,2,2012
1125,48,LVA,1,0,1,2,2012
1126,50,DZA,1,0,0,1,2012
1127,50,BHS,1,0,0,1,2012
1128,50,BHR,1,0,0,1,2012
1129,50,GRD,1,0,0,1,2012
1130,50,UGA,1,0,0,1,2012
1131,50,VEN,1,0,0,1,2012
1132,56,EGY,0,3,1,4,2012
1133,57,IND,0,2,4,6,2012
1134,58,MNG,0,2,3,5,2012
1135,59,THA,0,2,2,4,2012
1136,60,BGR,0,2,1,3,2012
1137,60,FIN,0,2,1,3,2012
1138,60,IDN,0,2,1,3,2012
1139,63,SVK,0,1,3,4,2012
1140,64,BEL,0,1,2,3,2012
1141,65,ARM,0,1,1,2,2012
1142,65,EST,0,1,1,2,2012
1143,65,MYS,0,1,1,2,2012
1144,65,PRI,0,1,1,2,2012
1145,65,QAT,0,1,1,2,2012
1146,70,BWA,0,1,0,1,2012
1147,70,CYP,0,1,0,1,2012
1148,70,GAB,0,1,0,1,2012
1149,70,GTM,0,1,0,1,2012
1150,70,MNE,0,1,0,1,2012
1151,70,PRT,0,1,0,1,2012
1152,76,UZB,0,0,3,3,2012
1153,77,GRC,0,0,2,2,2012
1154,77,SGP,0,0,2,2,2012
1155,79,AFG,0,0,1,1,2012
1156,79,CMR,0,0,1,1,2012
1157,79,HKG,0,0,1,1,2012
1158,79,KWT,0,0,1,1,2012
1159,79,MAR,0,0,1,1,2012
1160,79,SAU,0,0,1,1,2012
1161,79,TJK,0,0,1,1,2012
1162,79,VNM,0,0,1,1,2012
1163,1,USA,46,37,38,121,2016
1164,2,GBR,27,23,17,67,2016
1165,3,CHN,26,18,26,70,2016
1166,4,RUS,19,17,20,56,2016
1167,5,DEU,17,10,15,42,2016
1168,6,JPN,12,8,21,41,2016
1169,7,FRA,10,18,14,42,2016
1170,8,KOR,9,3,9,21,2016
1171,9,ITA,8,12,8,28,2016
1172,10,AUS,8,11,10,29,2016
1173,11,NLD,8,7,4,19,2016
1174,12,HUN,8,3,4,15,2016
1175,13,BRA,7,6,6,19,2016
1176,14,ESP,7,4,6,17,2016
1177,15,KEN,6,6,1,13,2016
1178,16,JAM,6,3,2,11,2016
1179,17,HRV,5,3,2,10,2016
1180,18,CUB,5,2,4,11,2016
1181,19,NZL,4,9,5,18,2016
1182,20,CAN,4,3,15,22,2016
1183,21,UZB,4,2,7,13,2016
1184,22,COL,3,2,3,8,2016
1185,23,CHE,3,2,2,7,2016
1186,24,IRN,3,1,4,8,2016
1187,25,GRC,3,1,2,6,2016
1188,26,ARG,3,1,0,4,2016
1189,27,DNK,2,6,7,15,2016
1190,28,SWE,2,6,3,11,2016
1191,29,ZAF,2,6,2,10,2016
1192,30,KAZ,2,5,10,17,2016
1193,31,UKR,2,5,4,11,2016
1194,32,SRB,2,4,2,8,2016
1195,33,POL,2,3,6,11,2016
1196,34,PRK,2,3,2,7,2016
1197,35,BEL,2,2,2,6,2016
1198,35,THA,2,2,2,6,2016
1199,37,SVK,2,2,0,4,2016
1200,38,GEO,2,1,4,7,2016
1201,39,AZE,1,7,10,18,2016
1202,40,BLR,1,4,4,9,2016
1203,41,TUR,1,3,4,8,2016
1204,42,ARM,1,3,0,4,2016
1205,43,CZE,1,2,7,10,2016
1206,44,ETH,1,2,5,8,2016
1207,45,SVN,1,2,1,4,2016
1208,46,IDN,1,2,0,3,2016
1209,47,ROU,1,1,2,4,2016
1210,48,BHR,1,1,0,2,2016
1211,48,VNM,1,1,0,2,2016
1212,50,TWN,1,0,2,3,2016
1213,51,BHS,1,0,1,2,2016
1214,51,CIV,1,0,1,2,2016
1215,54,FJI,1,0,0,1,2016
1216,54,JOR,1,0,0,1,2016
1217,54,KVX,1,0,0,1,2016
1218,54,PRI,1,0,0,1,2016
1219,54,SGP,1,0,0,1,2016
1220,54,TJK,1,0,0,1,2016
1221,60,MYS,0,4,1,5,2016
1222,61,MEX,0,3,2,5,2016
1223,62,VEN,0,2,1,3,2016
1224,63,DZA,0,2,0,2,2016
1225,63,IRL,0,2,0,2,2016
1226,65,LTU,0,1,3,4,2016
1227,66,BGR,0,1,2,3,2016
1228,67,IND,0,1,1,2,2016
1229,67,MNG,0,1,1,2,2016
1230,69,BDI,0,1,0,1,2016
1231,69,GRD,0,1,0,1,2016
1232,69,NER,0,1,0,1,2016
1233,69,PHL,0,1,0,1,2016
1234,69,QAT,0,1,0,1,2016
1235,74,NOR,0,0,4,4,2016
1236,75,EGY,0,0,3,3,2016
1237,75,TUN,0,0,3,3,2016
1238,77,ISR,0,0,2,2,2016
1239,78,AUT,0,0,1,1,2016
1240,78,DOM,0,0,1,1,2016
1241,78,EST,0,0,1,1,2016
1242,78,FIN,0,0,1,1,2016
1243,78,MAR,0,0,1,1,2016
1244,78,NGA,0,0,1,1,2016
1245,78,PRT,0,0,1,1,2016
1246,78,TTO,0,0,1,1,2016
1247,78,ARE,0,0,1,1,2016
1248,1,USA,39,41,33,113,2020
1249,2,CHN,38,32,19,89,2020
1250,3,JPN,27,14,17,58,2020
1251,4,GBR,22,20,22,64,2020
1252,5,ROC,20,28,23,71,2020
1253,6,AUS,17,7,22,46,2020
1254,7,NLD,10,12,14,36,2020
1255,8,FRA,10,12,11,33,2020
1256,9,DEU,10,11,16,37,2020
1257,10,ITA,10,10,20,40,2020
1258,11,CAN,7,7,10,24,2020
1259,12,BRA,7,6,8,21,2020
1260,13,NZL,7,6,7,20,2020
1261,14,CUB,7,3,5,15,2020
1262,15,HUN,6,7,7,20,2020
1263,16,KOR,6,4,10,20,2020
1264,17,POL,4,5,5,14,2020
1265,18,CZE,4,4,3,11,2020
1266,19,KEN,4,4,2,10,2020
1267,20,NOR,4,2,2,8,2020
1268,21,JAM,4,1,4,9,2020
1269,22,ESP,3,8,6,17,2020
1270,23,SWE,3,6,0,9,2020
1271,24,CHE,3,4,6,13,2020
1272,25,DNK,3,4,4,11,2020
1273,26,HRV,3,3,2,8,2020
1274,27,IRN,3,2,2,7,2020
1275,28,SRB,3,1,5,9,2020
1276,29,BEL,3,1,3,7,2020
1277,30,BGR,3,1,2,6,2020
1278,31,SVN,3,1,1,5,2020
1279,32,UZB,3,0,2,5,2020
1280,33,GEO,2,5,1,8,2020
1281,34,TWN,2,4,6,12,2020
1282,35,TUR,2,2,9,13,2020
1283,36,GRC,2,1,1,4,2020
1284,36,UGA,2,1,1,4,2020
1285,38,ECU,2,1,0,3,2020
1286,39,IRL,2,0,2,4,2020
1287,39,ISR,2,0,2,4,2020
1288,41,QAT,2,0,1,3,2020
1289,42,BHS,2,0,0,2,2020
1290,42,KVX,2,0,0,2,2020
1291,44,UKR,1,6,12,19,2020
1292,45,BLR,1,3,3,7,2020
1293,46,ROU,1,3,0,4,2020
1294,46,VEN,1,3,0,4,2020
1295,48,IND,1,2,4,7,2020
1296,49,HKG,1,2,3,6,2020
1297,50,PHL,1,2,1,4,2020
1298,50,SVK,1,2,1,4,2020
1299,52,ZAF,1,2,0,3,2020
1300,53,AUT,1,1,5,7,2020
1301,54,EGY,1,1,4,6,2020
1302,55,IDN,1,1,3,5,2020
1303,56,ETH,1,1,2,4,2020
1304,56,PRT,1,1,2,4,2020
1305,58,TUN,1,1,0,2,2020
1306,59,EST,1,0,1,2,2020
1307,59,FJI,1,0,1,2,2020
1308,59,LVA,1,0,1,2,2020
1309,59,THA,1,0,1,2,2020
1310,63,BMU,1,0,0,1,2020
1311,63,MAR,1,0,0,1,2020
1312,63,PRI,1,0,0,1,2020
1313,66,COL,0,4,1,5,2020
1314,67,AZE,0,3,4,7,2020
1315,68,DOM,0,3,2,5,2020
1316,69,ARM,0,2,2,4,2020
1317,70,KGZ,0,2,1,3,2020
1318,71,MNG,0,1,3,4,2020
1319,72,ARG,0,1,2,3,2020
1320,72,SMR,0,1,2,3,2020
1321,74,JOR,0,1,1,2,2020
1322,74,MYS,0,1,1,2,2020
1323,74,NGA,0,1,1,2,2020
1324,77,BHR,0,1,0,1,2020
1325,77,LTU,0,1,0,1,2020
1326,77,NAM,0,1,0,1,2020
1327,77,MKD,0,1,0,1,2020
1328,77,SAU,0,1,0,1,2020
1329,77,TKM,0,1,0,1,2020
1330,83,KAZ,0,0,8,8,2020
1331,84,MEX,0,0,4,4,2020
1332,85,FIN,0,0,2,2,2020
1333,86,BWA,0,0,1,1,2020
1334,86,BFA,0,0,1,1,2020
1335,86,GHA,0,0,1,1,2020
1336,86,GRD,0,0,1,1,2020
1337,86,CIV,0,0,1,1,2020
1338,86,KWT,0,0,1,1,2020
1339,86,MDA,0,0,1,1,2020
1340,86,SYR,0,0,1,1,2020
1341,1,USA,40,44,42,126,2024
1342,2,CHN,40,27,24,91,2024
1343,3,JPN,20,12,13,45,2024
1344,4,AUS,18,19,16,53,2024
1345,5,FRA,16,26,22,64,2024
1346,6,NLD,15,7,12,34,2024
1347,7,GBR,14,22,29,65,2024
1348,8,KOR,13,9,10,32,2024
1349,9,ITA,12,13,15,40,2024
1350,10,DEU,12,13,8,33,2024
1351,11,NZL,10,7,3,20,2024
1352,12,CAN,9,7,11,27,2024
1353,13,UZB,8,2,3,13,2024
1354,14,HUN,6,7,6,19,2024
1355,15,ESP,5,4,9,18,2024
1356,16,SWE,4,4,3,11,2024
1357,17,KEN,4,2,5,11,2024
1358,18,NOR,4,1,3,8,2024
1359,19,IRL,4,0,3,7,2024
1360,20,BRA,3,7,10,20,2024
1361,21,IRN,3,6,3,12,2024
1362,22,UKR,3,5,4,12,2024
1363,23,ROU,3,4,2,9,2024
1364,24,GEO,3,3,1,7,2024
1365,25,BEL,3,1,6,10,2024
1366,26,BGR,3,1,3,7,2024
1367,27,SRB,3,1,1,5,2024
1368,28,CZE,3,0,2,5,2024
1369,29,DNK,2,2,5,9,2024
1370,30,AZE,2,2,3,7,2024
1371,30,HRV,2,2,3,7,2024
1372,32,CUB,2,1,6,9,2024
1373,33,BHR,2,1,1,4,2024
1374,34,SVN,2,1,0,3,2024
1375,35,TWN,2,0,5,7,2024
1376,36,AUT,2,0,3,5,2024
1377,37,HKG,2,0,2,4,2024
1378,37,PHL,2,0,2,4,2024
1379,39,DZA,2,0,1,3,2024
1380,39,IDN,2,0,1,3,2024
1381,41,ISR,1,5,1,7,2024
1382,42,POL,1,4,5,10,2024
1383,43,KAZ,1,3,3,7,2024
1384,44,JAM,1,3,2,6,2024
1385,44,ZAF,1,3,2,6,2024
1386,44,THA,1,3,2,6,2024
1387,47,ETH,1,3,0,4,2024
1388,48,CHE,1,2,5,8,2024
1389,49,ECU,1,2,2,5,2024
1390,50,PRT,1,2,1,4,2024
1391,51,GRC,1,1,6,8,2024
1392,52,ARG,1,1,1,3,2024
1393,52,EGY,1,1,1,3,2024
1394,52,TUN,1,1,1,3,2024
1395,55,BWA,1,1,0,2,2024
1396,55,CHL,1,1,0,2,2024
1397,55,LCA,1,1,0,2,2024
1398,55,UGA,1,1,0,2,2024
1399,59,DOM,1,0,2,3,2024
1400,60,GTM,1,0,1,2,2024
1401,60,MAR,1,0,1,2,2024
1402,62,DMA,1,0,0,1,2024
1403,62,PAK,1,0,0,1,2024
1404,64,TUR,0,3,5,8,2024
1405,65,MEX,0,3,2,5,2024
1406,66,ARM,0,3,1,4,2024
1407,66,COL,0,3,1,4,2024
1408,68,KGZ,0,2,4,6,2024
1409,68,PRK,0,2,4,6,2024
1410,70,LTU,0,2,2,4,2024
1411,71,IND,0,1,5,6,2024
1412,72,MDA,0,1,3,4,2024
1413,73,KVX,0,1,1,2,2024
1414,74,CYP,0,1,0,1,2024
1415,74,FJI,0,1,0,1,2024
1416,74,JOR,0,1,0,1,2024
1417,74,MNG,0,1,0,1,2024
1418,74,PAN,0,1,0,1,2024
1419,79,TJK,0,0,3,3,2024
1420,80,ALB,0,0,2,2,2024
1421,80,GRD,0,0,2,2,2024
1422,80,MYS,0,0,2,2,2024
1423,80,PRI,0,0,2,2,2024
1424,84,CPV,0,0,1,1,2024
1425,84,CIV,0,0,1,1,2024
1426,84,PER,0,0,1,1,2024
1427,84,QAT,0,0,1,1,2024
1428,84,SGP,0,0,1,1,2024
1429,84,SVK,0,0,1,1,2024
1430,84,ZMB,0,0,1,1,2024
