Rank,NOC,Gold,Silver,Bronze,Total,Year,Participants
1,USA,11,7,2,20,1896,16
2,GRC,10,18,19,47,1896,25
3,DEU,6,5,2,13,1896,12
4,FRA,5,4,2,11,1896,16
5,GBR,2,3,2,7,1896,8
6,HUN,2,1,3,6,1896,5
7,AUT,2,1,2,5,1896,8
8,AUS,2,0,0,2,1896,11
9,DNK,1,2,3,6,1896,5
10,CHE,1,2,0,3,1896,2
1,FRA,27,39,37,103,1900,4
2,USA,19,14,15,48,1900,6
3,GBR,15,7,9,31,1900,3
5,BEL,6,7,4,17,1900,7
6,CHE,6,2,1,9,1900,11
7,DEU,4,3,2,9,1900,5
8,ITA,3,2,0,5,1900,4
9,AUS,2,0,3,5,1900,5
10,DNK,1,3,2,6,1900,2
11,HUN,1,2,2,5,1900,4
12,CUB,1,1,0,2,1900,13
13,CAN,1,0,1,2,1900,4
14,ESP,1,0,0,1,1900,4
14,LUX,1,0,0,1,1900,7
16,AUT,0,3,3,6,1900,8
17,NOR,0,2,3,5,1900,3
17,NLD,0,2,3,5,1900,4
19,IND,0,2,0,2,1900,46
21,SWE,0,0,1,1,1900,9
1,USA,76,78,77,231,1904,9
2,DEU,4,5,6,15,1904,5
3,CAN,4,1,1,6,1904,7
4,CUB,3,0,0,3,1904,12
5,HUN,2,1,1,4,1904,10
7,NOR,2,0,0,2,1904,10
8,AUT,1,1,1,3,1904,9
9,GBR,1,1,0,2,1904,7
10,CHE,1,0,2,3,1904,9
11,GRC,1,0,1,2,1904,7
12,AUS,0,3,1,4,1904,63
13,FRA,0,1,0,1,1904,33
1,GBR,56,51,39,146,1908,45
2,USA,23,12,12,47,1908,36
3,SWE,8,6,11,25,1908,47
4,FRA,5,5,9,19,1908,51
5,DEU,3,5,5,13,1908,71
6,HUN,3,4,2,9,1908,57
7,CAN,3,3,10,16,1908,39
8,NOR,2,3,3,8,1908,74
9,ITA,2,2,0,4,1908,45
10,BEL,1,5,2,8,1908,55
11,AUS,1,2,2,5,1908,3
12,RUS,1,2,0,3,1908,2
13,FIN,1,1,3,5,1908,2
14,ZAF,1,1,0,2,1908,4
15,GRC,0,3,1,4,1908,8
16,DNK,0,2,3,5,1908,8
17,NLD,0,0,2,2,1908,6
19,AUT,0,0,1,1,1908,5
1,USA,26,19,19,64,1912,6
2,SWE,23,25,17,65,1912,4
3,GBR,10,15,16,41,1912,3
4,FIN,9,8,9,26,1912,4
5,FRA,7,4,3,14,1912,17
6,DEU,5,13,7,25,1912,33
7,ZAF,4,2,0,6,1912,33
8,NOR,3,2,5,10,1912,30
9,CAN,3,2,3,8,1912,30
9,HUN,3,2,3,8,1912,30
11,ITA,3,1,2,6,1912,33
12,AUS,2,2,3,7,1912,35
13,BEL,2,1,3,6,1912,26
14,DNK,1,6,5,12,1912,20
15,GRC,1,0,1,2,1912,26
16,RUS,0,2,3,5,1912,17
17,AUT,0,2,2,4,1912,27
18,NLD,0,0,3,3,1912,25
1,USA,41,27,27,95,1920,18
2,SWE,19,20,25,64,1920,19
3,FIN,15,10,9,34,1920,4
4,GBR,14,15,13,42,1920,5
5,BEL,14,11,11,36,1920,5
6,NOR,13,9,9,31,1920,4
7,ITA,13,5,5,23,1920,9
8,FRA,9,19,13,41,1920,6
9,NLD,4,2,5,11,1920,5
10,DNK,3,9,1,13,1920,48
11,ZAF,3,4,3,10,1920,38
12,CAN,3,3,3,9,1920,1
13,CHE,2,2,7,11,1920,1
14,EST,1,2,0,3,1920,1
15,BRA,1,1,1,3,1920,109
16,AUS,0,2,1,3,1920,98
17,JPN,0,2,0,2,1920,47
17,ESP,0,2,0,2,1920,68
19,GRC,0,1,0,1,1920,295
19,LUX,0,1,0,1,1920,174
22,NZL,0,0,1,1,1920,116
1,USA,45,27,27,99,1924,148
2,FIN,14,13,10,37,1924,132
3,FRA,13,15,10,38,1924,123
4,GBR,9,13,12,34,1924,106
5,ITA,8,3,5,16,1924,115
6,CHE,7,8,10,25,1924,134
7,NOR,5,2,3,10,1924,111
8,SWE,4,13,12,29,1924,221
9,NLD,4,1,5,10,1924,165
10,BEL,3,7,3,13,1924,179
11,AUS,3,1,2,6,1924,145
12,DNK,2,5,2,9,1924,148
13,HUN,2,3,4,9,1924,232
14,YUG,2,0,0,2,1924,208
16,ARG,1,3,2,6,1924,38
17,EST,1,1,4,6,1924,26
18,ZAF,1,1,1,3,1924,19
19,URY,1,0,0,1,1924,26
20,AUT,0,3,1,4,1924,31
20,CAN,0,3,1,4,1924,34
22,POL,0,1,1,2,1924,19
23,HTI,0,0,1,1,1924,17
23,JPN,0,0,1,1,1924,12
23,NZL,0,0,1,1,1924,5
23,PRT,0,0,1,1,1924,3
23,ROU,0,0,1,1,1924,5
1,USA,22,18,16,56,1928,4
2,DEU,10,7,14,31,1928,2
3,FIN,8,8,9,25,1928,4
4,SWE,7,6,12,25,1928,7
5,ITA,7,5,7,19,1928,4
6,CHE,7,4,4,15,1928,7
7,FRA,6,10,5,21,1928,6
8,NLD,6,9,4,19,1928,3
9,HUN,4,5,0,9,1928,7
10,CAN,4,4,7,15,1928,4
11,GBR,3,10,7,20,1928,3
12,ARG,3,3,1,7,1928,4
13,DNK,3,1,2,6,1928,4
15,JPN,2,2,1,5,1928,6
16,EST,2,1,2,5,1928,2
17,EGY,2,1,1,4,1928,5
18,AUT,2,0,1,3,1928,6
19,AUS,1,2,1,4,1928,6
19,NOR,1,2,1,4,1928,10
21,POL,1,1,3,5,1928,29
21,YUG,1,1,3,5,1928,60
23,ZAF,1,0,2,3,1928,29
24,IND,1,0,0,1,1928,20
24,IRL,1,0,0,1,1928,39
24,NZL,1,0,0,1,1928,103
24,ESP,1,0,0,1,1928,140
24,URY,1,0,0,1,1928,412
29,BEL,0,1,2,3,1928,280
30,CHL,0,1,0,1,1928,392
30,HTI,0,1,0,1,1928,224
32,PHL,0,0,1,1,1928,266
32,PRT,0,0,1,1,1928,274
1,USA,44,36,30,110,1932,190
2,ITA,12,12,12,36,1932,337
3,FRA,11,5,4,20,1932,339
4,SWE,10,5,9,24,1932,390
5,JPN,7,7,4,18,1932,550
6,HUN,6,5,5,16,1932,788
7,DEU,5,12,7,24,1932,601
8,FIN,5,8,12,25,1932,570
9,GBR,5,7,5,17,1932,514
10,POL,3,2,4,9,1932,518
11,AUS,3,1,1,5,1932,638
12,ARG,3,1,0,4,1932,649
13,CAN,2,5,9,16,1932,8
14,NLD,2,5,1,8,1932,26
15,ZAF,2,0,3,5,1932,7
16,IRL,2,0,0,2,1932,100
18,AUT,1,1,3,5,1932,132
19,IND,1,0,0,1,1932,56
20,DNK,0,5,3,8,1932,113
21,MEX,0,2,0,2,1932,33
22,LVA,0,1,0,1,1932,363
22,NZL,0,1,0,1,1932,239
22,CHE,0,1,0,1,1932,238
25,PHL,0,0,3,3,1932,57
26,BEL,0,0,1,1,1932,198
26,ESP,0,0,1,1,1932,82
26,URY,0,0,1,1,1932,59
1,DEU,38,31,32,101,1936,143
2,USA,24,21,12,57,1936,73
3,HUN,10,1,5,16,1936,92
4,ITA,9,13,5,27,1936,130
5,FIN,8,6,6,20,1936,96
6,FRA,7,6,6,19,1936,127
7,SWE,6,5,10,21,1936,92
8,JPN,6,4,10,20,1936,114
9,NLD,6,4,7,17,1936,92
10,AUT,5,7,5,17,1936,93
11,CHE,4,9,5,18,1936,90
12,GBR,4,7,3,14,1936,85
14,ARG,2,2,3,7,1936,121
14,EST,2,2,3,7,1936,24
16,EGY,2,1,2,5,1936,32
17,CAN,1,3,5,9,1936,37
18,NOR,1,3,2,6,1936,44
19,TUR,1,0,1,2,1936,59
20,IND,1,0,0,1,1936,69
20,NZL,1,0,0,1,1936,55
22,POL,0,4,5,9,1936,49
23,DNK,0,2,3,5,1936,7
24,LVA,0,1,1,2,1936,5
25,ROU,0,1,0,1,1936,14
25,ZAF,0,1,0,1,1936,12
25,YUG,0,1,0,1,1936,22
28,BEL,0,0,3,3,1936,25
28,MEX,0,0,3,3,1936,19
30,AUS,0,0,1,1,1936,31
30,PHL,0,0,1,1,1936,18
30,PRT,0,0,1,1,1936,18
1,USA,38,27,19,84,1948,36
2,SWE,16,11,17,44,1948,39
3,FRA,10,6,13,29,1948,28
4,HUN,10,5,12,27,1948,33
5,ITA,8,11,8,27,1948,29
6,FIN,8,7,5,20,1948,38
7,TUR,6,4,2,12,1948,22
9,CHE,5,10,5,20,1948,2
10,DNK,5,7,8,20,1948,11
11,NLD,5,2,9,16,1948,9
12,GBR,3,14,6,23,1948,4
13,ARG,3,3,1,7,1948,6
14,AUS,2,6,5,13,1948,4
15,BEL,2,2,3,7,1948,5
16,EGY,2,2,1,5,1948,7
17,MEX,2,1,2,5,1948,7
18,ZAF,2,1,1,4,1948,8
19,NOR,1,3,3,7,1948,5
20,JAM,1,2,0,3,1948,13
21,AUT,1,0,3,4,1948,20
22,IND,1,0,0,1,1948,17
22,PER,1,0,0,1,1948,25
24,YUG,0,2,0,2,1948,26
25,CAN,0,1,2,3,1948,22
26,PRT,0,1,1,2,1948,22
26,URY,0,1,1,2,1948,28
28,CUB,0,1,0,1,1948,10
28,ESP,0,1,0,1,1948,8
28,TTO,0,1,0,1,1948,13
32,PAN,0,0,2,2,1948,9
32,KOR,0,0,2,2,1948,4
34,BRA,0,0,1,1,1948,7
34,IRN,0,0,1,1,1948,6
34,POL,0,0,1,1,1948,7
34,PRI,0,0,1,1,1948,3
1,USA,40,19,17,76,1952,6
3,HUN,16,10,16,42,1952,7
4,SWE,12,13,10,35,1952,8
5,ITA,8,9,4,21,1952,100
7,FRA,6,6,6,18,1952,99
8,FIN,6,3,13,22,1952,72
9,AUS,6,2,3,11,1952,518
10,NOR,3,2,0,5,1952,234
11,CHE,2,6,6,14,1952,260
12,ZAF,2,4,4,10,1952,69
13,JAM,2,3,0,5,1952,205
14,BEL,2,2,0,4,1952,182
15,DNK,2,1,3,6,1952,184
16,TUR,2,0,1,3,1952,82
17,JPN,1,6,2,9,1952,150
18,GBR,1,2,8,11,1952,74
19,ARG,1,2,2,5,1952,106
20,POL,1,2,1,4,1952,106
21,CAN,1,2,0,3,1952,149
21,YUG,1,2,0,3,1952,84
23,ROU,1,1,2,4,1952,86
24,BRA,1,0,2,3,1952,85
24,NZL,1,0,2,3,1952,103
26,IND,1,0,1,2,1952,81
27,LUX,1,0,0,1,1952,94
28,DEU,0,7,17,24,1952,70
29,NLD,0,5,0,5,1952,112
30,IRN,0,3,4,7,1952,142
31,CHL,0,2,0,2,1952,138
32,AUT,0,1,1,2,1952,185
32,LBN,0,1,1,2,1952,240
34,IRL,0,1,0,1,1952,3
34,MEX,0,1,0,1,1952,17
34,ESP,0,1,0,1,1952,3
37,KOR,0,0,2,2,1952,10
37,TTO,0,0,2,2,1952,7
37,URY,0,0,2,2,1952,7
40,BGR,0,0,1,1,1952,4
40,EGY,0,0,1,1,1952,4
40,PRT,0,0,1,1,1952,5
40,VEN,0,0,1,1,1952,5
2,USA,32,25,17,74,1956,7
3,AUS,13,8,14,35,1956,5
4,HUN,9,10,7,26,1956,9
5,ITA,8,8,9,25,1956,28
6,SWE,8,5,6,19,1956,12
7,DEU,6,13,7,26,1956,3
8,GBR,6,7,11,24,1956,9
9,ROU,5,3,5,13,1956,4
10,JPN,4,10,5,19,1956,6
11,FRA,4,4,6,14,1956,9
12,TUR,3,2,2,7,1956,20
13,FIN,3,1,11,15,1956,13
14,IRN,2,2,1,5,1956,14
15,CAN,2,1,3,6,1956,29
16,NZL,2,0,0,2,1956,10
17,POL,1,4,4,9,1956,7
19,BGR,1,3,1,5,1956,6
20,DNK,1,2,1,4,1956,8
21,IRL,1,1,3,5,1956,8
22,NOR,1,0,2,3,1956,2
23,MEX,1,0,1,2,1956,8
24,BRA,1,0,0,1,1956,6
24,IND,1,0,0,1,1956,6
26,YUG,0,3,0,3,1956,12
27,CHL,0,2,2,4,1956,2
28,BEL,0,2,0,2,1956,2
29,ARG,0,1,1,2,1956,2
29,KOR,0,1,1,2,1956,2
31,ISL,0,1,0,1,1956,2
31,PAK,0,1,0,1,1956,2
33,ZAF,0,0,4,4,1956,4
34,AUT,0,0,2,2,1956,3
35,BHS,0,0,1,1,1956,13
35,GRC,0,0,1,1,1956,12
35,CHE,0,0,1,1,1956,11
35,URY,0,0,1,1,1956,11
2,USA,34,21,16,71,1960,8
3,ITA,13,10,13,36,1960,11
4,DEU,12,19,11,42,1960,8
5,AUS,8,8,6,22,1960,6
6,TUR,7,2,0,9,1960,7
7,HUN,6,8,7,21,1960,2
8,JPN,4,7,7,18,1960,4
9,POL,4,6,11,21,1960,13
11,ROU,3,1,6,10,1960,18
12,GBR,2,6,12,20,1960,5
13,DNK,2,3,1,6,1960,2
14,NZL,2,0,1,3,1960,2
15,BGR,1,3,3,7,1960,4
16,SWE,1,2,3,6,1960,3
17,FIN,1,1,3,5,1960,3
18,AUT,1,1,0,2,1960,4
18,YUG,1,1,0,2,1960,1
20,PAK,1,0,1,2,1960,259
21,ETH,1,0,0,1,1960,231
21,GRC,1,0,0,1,1960,192
21,NOR,1,0,0,1,1960,237
24,CHE,0,3,3,6,1960,185
25,FRA,0,2,3,5,1960,142
26,BEL,0,2,2,4,1960,137
27,IRN,0,1,3,4,1960,9
28,NLD,0,1,2,3,1960,29
28,ZAF,0,1,2,3,1960,41
30,ARG,0,1,1,2,1960,74
30,EGY,0,1,1,2,1960,2
32,CAN,0,1,0,1,1960,1
32,TWN,0,1,0,1,1960,4
32,GHA,0,1,0,1,1960,14
32,IND,0,1,0,1,1960,5
32,MAR,0,1,0,1,1960,13
32,PRT,0,1,0,1,1960,12
32,SGP,0,1,0,1,1960,21
39,BRA,0,0,2,2,1960,9
39,IND,0,0,2,2,1960,5
41,IRQ,0,0,1,1,1960,11
41,MEX,0,0,1,1,1960,7
41,ESP,0,0,1,1,1960,5
41,VEN,0,0,1,1,1960,12
1,USA,36,26,28,90,1964,5
3,JPN,16,5,8,29,1964,8
4,DEU,10,22,18,50,1964,8
5,ITA,10,10,7,27,1964,11
6,HUN,10,7,5,22,1964,6
7,POL,7,6,10,23,1964,7
8,AUS,6,2,10,18,1964,9
10,GBR,4,12,2,18,1964,11
11,BGR,3,5,2,10,1964,4
12,FIN,3,0,2,5,1964,14
12,NZL,3,0,2,5,1964,16
14,ROU,2,4,6,12,1964,19
15,NLD,2,4,4,10,1964,3
16,TUR,2,3,1,6,1964,38
17,SWE,2,2,4,8,1964,18
18,DNK,2,1,3,6,1964,67
19,YUG,2,1,2,5,1964,94
20,BEL,2,0,1,3,1964,105
21,FRA,1,8,6,15,1964,119
22,CAN,1,2,1,4,1964,63
22,CHE,1,2,1,4,1964,86
24,BHS,1,0,0,1,1964,65
24,ETH,1,0,0,1,1964,89
24,IND,1,0,0,1,1964,104
27,KOR,0,2,1,3,1964,89
28,TTO,0,1,2,3,1964,149
29,TUN,0,1,1,2,1964,197
30,ARG,0,1,0,1,1964,233
30,CUB,0,1,0,1,1964,233
30,PAK,0,1,0,1,1964,251
30,PHL,0,1,0,1,1964,236
34,IRN,0,0,2,2,1964,318
35,BRA,0,0,1,1,1964,338
35,GHA,0,0,1,1,1964,306
35,IRL,0,0,1,1,1964,583
35,KEN,0,0,1,1,1964,416
35,MEX,0,0,1,1,1964,401
35,NGA,0,0,1,1,1964,14
35,URY,0,0,1,1,1964,16
1,USA,45,28,34,107,1968,15
3,JPN,11,7,7,25,1968,4
4,HUN,10,10,12,32,1968,10
5,DDR,9,9,7,25,1968,15
6,FRA,7,3,5,15,1968,14
8,DEU,5,11,10,26,1968,33
9,AUS,5,7,5,17,1968,15
10,GBR,5,5,3,13,1968,1
11,POL,5,2,11,18,1968,2
12,ROU,4,6,5,15,1968,1
13,ITA,3,4,9,16,1968,3
14,KEN,3,4,2,9,1968,3
15,MEX,3,3,3,9,1968,2
16,YUG,3,3,2,8,1968,3
17,NLD,3,3,1,7,1968,31
18,BGR,2,4,3,9,1968,10
19,IRN,2,1,2,5,1968,2
20,SWE,2,1,1,4,1968,85
21,TUR,2,0,0,2,1968,179
22,DNK,1,4,3,8,1968,82
23,CAN,1,3,1,5,1968,183
24,FIN,1,2,1,4,1968,116
25,ETH,1,1,0,2,1968,189
25,NOR,1,1,0,2,1968,226
27,NZL,1,0,2,3,1968,254
28,TUN,1,0,1,2,1968,397
29,PAK,1,0,0,1,1968,281
29,VEN,1,0,0,1,1968,236
31,CUB,0,4,0,4,1968,181
32,AUT,0,2,2,4,1968,150
33,CHE,0,1,4,5,1968,119
34,MNG,0,1,3,4,1968,87
35,BRA,0,1,2,3,1968,75
36,BEL,0,1,1,2,1968,58
36,KOR,0,1,1,2,1968,56
36,UGA,0,1,1,2,1968,61
39,CMR,0,1,0,1,1968,1
39,JAM,0,1,0,1,1968,9
41,ARG,0,0,2,2,1968,4
42,GRC,0,0,1,1,1968,5
42,IND,0,0,1,1,1968,4
42,TWN,0,0,1,1,1968,5
2,USA,33,31,30,94,1972,5
3,DDR,20,23,23,66,1972,5
4,DEU,13,11,16,40,1972,8
5,JPN,13,8,8,29,1972,8
6,AUS,8,7,2,17,1972,1
7,POL,7,5,9,21,1972,3
8,HUN,6,13,16,35,1972,15
9,BGR,6,10,5,21,1972,21
10,ITA,5,3,10,18,1972,5
11,SWE,4,6,6,16,1972,3
12,GBR,4,5,9,18,1972,4
13,ROU,3,6,7,16,1972,3
14,CUB,3,1,4,8,1972,6
14,FIN,3,1,4,8,1972,6
16,NLD,3,1,1,5,1972,2
17,FRA,2,4,7,13,1972,4
19,KEN,2,3,4,9,1972,15
20,YUG,2,1,2,5,1972,17
21,NOR,2,1,1,4,1972,5
22,PRK,1,1,3,5,1972,4
23,NZL,1,1,1,3,1972,4
24,UGA,1,1,0,2,1972,4
25,DNK,1,0,0,1,1972,6
26,CHE,0,3,0,3,1972,6
27,CAN,0,2,3,5,1972,3
28,IRN,0,2,1,3,1972,3
29,BEL,0,2,0,2,1972,7
29,GRC,0,2,0,2,1972,61
31,AUT,0,1,2,3,1972,4
31,COL,0,1,2,3,1972,148
33,ARG,0,1,0,1,1972,60
33,LBN,0,1,0,1,1972,85
33,MEX,0,1,0,1,1972,83
33,MNG,0,1,0,1,1972,113
33,PAK,0,1,0,1,1972,191
33,KOR,0,1,0,1,1972,167
33,TUN,0,1,0,1,1972,188
33,TUR,0,1,0,1,1972,154
41,BRA,0,0,2,2,1972,150
41,ETH,0,0,2,2,1972,140
43,GHA,0,0,1,1,1972,194
43,IND,0,0,1,1,1972,291
43,JAM,0,0,1,1,1972,344
43,NER,0,0,1,1,1972,531
43,NGA,0,0,1,1,1972,572
43,ESP,0,0,1,1,1972,503
2,DDR,40,25,25,90,1976,408
3,USA,34,35,25,94,1976,422
4,DEU,10,12,17,39,1976,391
5,JPN,9,6,10,25,1976,449
6,POL,7,6,13,26,1976,354
7,BGR,6,9,7,22,1976,405
8,CUB,6,4,3,13,1976,509
9,ROU,4,9,14,27,1976,538
10,HUN,4,5,13,22,1976,2
11,FIN,4,2,0,6,1976,14
12,SWE,4,1,0,5,1976,12
13,GBR,3,5,5,13,1976,13
14,ITA,2,7,4,13,1976,9
15,FRA,2,3,4,9,1976,4
16,YUG,2,3,3,8,1976,8
18,NZL,2,1,1,4,1976,7
19,KOR,1,1,4,6,1976,5
20,CHE,1,1,2,4,1976,9
21,JAM,1,1,0,2,1976,5
21,PRK,1,1,0,2,1976,2
21,NOR,1,1,0,2,1976,8
24,DNK,1,0,2,3,1976,25
25,MEX,1,0,1,2,1976,13
26,TTO,1,0,0,1,1976,10
27,CAN,0,5,6,11,1976,10
28,BEL,0,3,3,6,1976,5
29,NLD,0,2,3,5,1976,5
30,PRT,0,2,0,2,1976,5
30,ESP,0,2,0,2,1976,5
32,AUS,0,1,4,5,1976,7
33,IRN,0,1,1,2,1976,10
34,MNG,0,1,0,1,1976,3
34,VEN,0,1,0,1,1976,4
36,BRA,0,0,2,2,1976,2
37,AUT,0,0,1,1,1976,4
37,BMU,0,0,1,1,1976,5
37,PAK,0,0,1,1,1976,3
37,PRI,0,0,1,1,1976,6
37,THA,0,0,1,1,1976,7
2,DDR,47,37,42,126,1980,3
3,BGR,8,16,17,41,1980,1
4,CUB,8,7,5,20,1980,2
5,ITA,8,3,4,15,1980,2
6,HUN,7,10,15,32,1980,2
7,ROU,6,6,13,25,1980,3
8,FRA,6,5,3,14,1980,3
9,GBR,5,7,9,21,1980,28
10,POL,3,14,15,32,1980,2
11,SWE,3,3,6,12,1980,18
12,FIN,3,1,4,8,1980,46w
14,YUG,2,3,4,9,1980,72
15,AUS,2,2,5,9,1980,82
16,DNK,2,1,2,5,1980,43
17,BRA,2,0,2,4,1980,9
17,ETH,2,0,2,4,1980,16
19,CHE,2,0,0,2,1980,25
20,ESP,1,3,2,6,1980,13
21,AUT,1,2,1,4,1980,9
22,GRC,1,0,2,3,1980,64
23,BEL,1,0,0,1,1980,23
23,IND,1,0,0,1,1980,15
23,ZWE,1,0,0,1,1980,24
26,PRK,0,3,2,5,1980,58
27,MNG,0,2,2,4,1980,29
28,TZA,0,2,0,2,1980,29
29,MEX,0,1,3,4,1980,44
30,NLD,0,1,2,3,1980,47
31,IRL,0,1,1,2,1980,63
32,UGA,0,1,0,1,1980,52
32,VEN,0,1,0,1,1980,2
34,JAM,0,0,3,3,1980,65
35,GUY,0,0,1,1,1980,33
35,LBN,0,0,1,1,1980,1
1,USA,83,61,30,174,1984,323
2,ROU,20,16,17,53,1984,427
3,DEU,17,19,23,59,1984,394
4,CHN,15,8,9,32,1984,438
5,ITA,14,6,12,32,1984,414
6,CAN,10,18,16,44,1984,518
7,JPN,10,8,14,32,1984,730
8,NZL,8,1,2,11,1984,479
9,YUG,7,4,7,18,1984,499
10,KOR,6,6,7,19,1984,574
11,GBR,5,11,21,37,1984,587
12,FRA,5,7,16,28,1984,10
13,NLD,5,2,6,13,1984,11
14,AUS,4,8,12,24,1984,13
15,FIN,4,2,6,12,1984,11
16,SWE,2,11,6,19,1984,18
17,MEX,2,3,1,6,1984,29
18,MAR,2,0,0,2,1984,18
19,BRA,1,5,2,8,1984,13
20,ESP,1,2,2,5,1984,18
21,BEL,1,1,2,4,1984,5
22,AUT,1,1,1,3,1984,22
23,KEN,1,0,2,3,1984,10
23,PRT,1,0,2,3,1984,15
25,PAK,1,0,0,1,1984,32
26,CHE,0,4,4,8,1984,18
27,DNK,0,3,3,6,1984,2
28,JAM,0,1,2,3,1984,5
28,NOR,0,1,2,3,1984,18
30,GRC,0,1,1,2,1984,4
30,NGA,0,1,1,2,1984,29
30,PRI,0,1,1,2,1984,56
33,COL,0,1,0,1,1984,21
33,EGY,0,1,0,1,1984,12
33,IRL,0,1,0,1,1984,19
33,CIV,0,1,0,1,1984,39
33,PER,0,1,0,1,1984,19
33,SYR,0,1,0,1,1984,32
33,THA,0,1,0,1,1984,32
40,TUR,0,0,3,3,1984,22
40,VEN,0,0,3,3,1984,12
42,DZA,0,0,2,2,1984,6
43,CMR,0,0,1,1,1984,8
43,TWN,0,0,1,1,1984,9
43,DOM,0,0,1,1,1984,21
43,ISL,0,0,1,1,1984,19
43,ZMB,0,0,1,1,1984,14
2,DDR,37,35,30,102,1988,6
3,USA,36,31,27,94,1988,5
4,KOR,12,10,11,33,1988,4
5,DEU,11,14,15,40,1988,4
6,HUN,11,6,6,23,1988,7
7,BGR,10,12,13,35,1988,6
8,ROU,7,11,6,24,1988,8
9,FRA,6,4,6,16,1988,2
10,ITA,6,4,4,14,1988,3
11,CHN,5,11,12,28,1988,2
12,GBR,5,10,9,24,1988,3
13,KEN,5,2,2,9,1988,4
14,JPN,4,3,7,14,1988,9
15,AUS,3,6,5,14,1988,9
16,YUG,3,4,5,12,1988,9
18,NZL,3,2,8,13,1988,1
19,CAN,3,2,5,10,1988,2
20,POL,2,5,9,16,1988,6
21,NOR,2,3,0,5,1988,11
22,NLD,2,2,5,9,1988,47
23,DNK,2,1,1,4,1988,23
24,BRA,1,2,3,6,1988,40
25,FIN,1,1,2,4,1988,70
25,ESP,1,1,2,4,1988,75
27,TUR,1,1,0,2,1988,44
28,MAR,1,0,2,3,1988,28
29,AUT,1,0,0,1,1988,48
29,PRT,1,0,0,1,1988,57
29,SUR,1,0,0,1,1988,61
32,SWE,0,4,7,11,1988,62
33,CHE,0,2,2,4,1988,54
34,JAM,0,2,0,2,1988,71
35,ARG,0,1,1,2,1988,90
36,CHL,0,1,0,1,1988,120
36,CRI,0,1,0,1,1988,157
36,IDN,0,1,0,1,1988,77
36,IRN,0,1,0,1,1988,105
36,PER,0,1,0,1,1988,2
36,SEN,0,1,0,1,1988,3
36,VGB,0,1,0,1,1988,3
44,BEL,0,0,2,2,1988,3
44,MEX,0,0,2,2,1988,4
46,COL,0,0,1,1,1988,3
46,DJI,0,0,1,1,1988,5
46,GRC,0,0,1,1,1988,3
46,MNG,0,0,1,1,1988,2
46,PAK,0,0,1,1,1988,3
46,PHL,0,0,1,1,1988,2
46,THA,0,0,1,1,1988,3
2,USA,37,34,37,108,1992,5
3,DEU,33,21,28,82,1992,6
4,CHN,16,22,16,54,1992,7
5,CUB,14,6,11,31,1992,1
6,ESP,13,7,2,22,1992,2
7,KOR,12,5,12,29,1992,27
8,HUN,11,12,7,30,1992,4
9,FRA,8,5,16,29,1992,10
10,AUS,7,9,11,27,1992,37
11,CAN,7,4,7,18,1992,32
12,ITA,6,5,8,19,1992,33
13,GBR,5,3,12,20,1992,20
14,ROU,4,6,8,18,1992,13
16,PRK,4,0,5,9,1992,21
17,JPN,3,8,11,22,1992,8
18,BGR,3,7,6,16,1992,11
19,POL,3,6,10,19,1992,12
20,NLD,2,6,7,15,1992,18
21,KEN,2,4,2,8,1992,6
22,NOR,2,4,1,7,1992,46
23,TUR,2,2,2,6,1992,117
24,IDN,2,2,1,5,1992,108
25,BRA,2,1,0,3,1992,100
26,GRC,2,0,0,2,1992,125
27,SWE,1,7,4,12,1992,118
28,NZL,1,4,5,10,1992,93
29,FIN,1,2,2,5,1992,74
30,DNK,1,1,4,6,1992,85
31,MAR,1,1,1,3,1992,11
32,IRL,1,1,0,2,1992,2
33,ETH,1,0,2,3,1992,6
34,DZA,1,0,1,2,1992,13
34,EST,1,0,1,2,1992,1
34,LTU,1,0,1,2,1992,3
37,CHE,1,0,0,1,1992,112
38,JAM,0,3,1,4,1992,57
