Rank,NOC,Gold,Silver,Bronze,Total,Year,Participants
38,NGA,0,3,1,4,1992,24
40,LVA,0,2,1,3,1992,21
41,AUT,0,2,0,2,1992,76
41,NAM,0,2,0,2,1992,227
41,ZAF,0,2,0,2,1992,201
44,BEL,0,1,2,3,1992,194
44,HRV,0,1,2,3,1992,288
44,IRN,0,1,2,3,1992,196
48,ISR,0,1,1,2,1992,178
49,TWN,0,1,0,1,1992,271
49,MEX,0,1,0,1,1992,177
49,PER,0,1,0,1,1992,171
52,MNG,0,0,2,2,1992,118
52,SVN,0,0,2,2,1992,143
54,ARG,0,0,1,1,1992,82
54,BHS,0,0,1,1,1992,69
54,COL,0,0,1,1,1992,15
54,GHA,0,0,1,1,1992,12
54,MYS,0,0,1,1,1992,11
54,PAK,0,0,1,1,1992,19
54,PHL,0,0,1,1,1992,24
54,PRI,0,0,1,1,1992,24
54,QAT,0,0,1,1,1992,21
54,SUR,0,0,1,1,1992,18
54,THA,0,0,1,1,1992,13
1,USA,44,32,25,101,1996,21
2,RUS,26,21,16,63,1996,23
3,DEU,20,18,27,65,1996,23
4,CHN,16,22,12,50,1996,169
5,FRA,15,7,15,37,1996,162
6,ITA,13,10,12,35,1996,171
7,AUS,9,9,23,41,1996,158
8,CUB,9,8,8,25,1996,159
9,UKR,9,2,12,23,1996,135
10,KOR,7,15,5,27,1996,151
11,POL,7,5,5,17,1996,149
12,HUN,7,4,10,21,1996,15
13,ESP,5,6,6,17,1996,36
14,ROU,4,7,9,20,1996,68
15,NLD,4,5,10,19,1996,107
16,GRC,4,4,0,8,1996,233
17,CZE,4,3,4,11,1996,246
18,CHE,4,3,0,7,1996,158
19,DNK,4,1,1,6,1996,122
19,TUR,4,1,1,6,1996,94
21,CAN,3,11,8,22,1996,173
22,BGR,3,7,5,15,1996,253
23,JPN,3,6,5,14,1996,201
24,KAZ,3,4,4,11,1996,51
25,BRA,3,3,9,15,1996,109
26,NZL,3,2,1,6,1996,71
27,ZAF,3,1,1,5,1996,93
28,IRL,3,0,1,4,1996,155
29,SWE,2,4,2,8,1996,81
30,NOR,2,2,3,7,1996,60
31,BEL,2,2,2,6,1996,74
32,NGA,2,1,3,6,1996,130
33,PRK,2,1,2,5,1996,144
34,DZA,2,0,1,3,1996,145
34,ETH,2,0,1,3,1996,124
36,GBR,1,8,6,15,1996,115
37,BLR,1,6,8,15,1996,108
38,KEN,1,4,3,8,1996,149
39,JAM,1,3,2,6,1996,143
40,FIN,1,2,1,4,1996,138
41,YUG,1,1,2,4,1996,161
41,IDN,1,1,2,4,1996,3
43,IRN,1,1,1,3,1996,6
43,SVK,1,1,1,3,1996,8
45,ARM,1,1,0,2,1996,5
45,HRV,1,1,0,2,1996,2
47,PRT,1,0,1,2,1996,2
47,THA,1,0,1,2,1996,4
49,BDI,1,0,0,1,1996,8
49,CRI,1,0,0,1,1996,5
49,ECU,1,0,0,1,1996,7
49,HKG,1,0,0,1,1996,6
49,SYR,1,0,0,1,1996,4
54,ARG,0,2,1,3,1996,2
55,NAM,0,2,0,2,1996,2
55,SVN,0,2,0,2,1996,2
57,AUT,0,1,2,3,1996,2
58,MYS,0,1,1,2,1996,2
58,MDA,0,1,1,2,1996,4
58,UZB,0,1,1,2,1996,1
61,AZE,0,1,0,1,1996,24
61,BHS,0,1,0,1,1996,5
61,TWN,0,1,0,1,1996,11
61,LVA,0,1,0,1,1996,7
61,PHL,0,1,0,1,1996,24
61,TON,0,1,0,1,1996,18
61,ZMB,0,1,0,1,1996,32
68,GEO,0,0,2,2,1996,16
68,MAR,0,0,2,2,1996,13
68,TTO,0,0,2,2,1996,33
71,IND,0,0,1,1,1996,27
71,ISR,0,0,1,1,1996,36
71,LTU,0,0,1,1,1996,30
71,MEX,0,0,1,1,1996,69
71,MNG,0,0,1,1,1996,64
71,MOZ,0,0,1,1,1996,4
71,PRI,0,0,1,1,1996,41
71,TUN,0,0,1,1,1996,4
71,UGA,0,0,1,1,1996,8
1,USA,37,24,32,93,2000,16
2,RUS,32,28,29,89,2000,15
3,CHN,28,16,14,58,2000,15
4,AUS,16,25,17,58,2000,15
5,DEU,13,17,26,56,2000,28
6,FRA,13,14,11,38,2000,11
7,ITA,13,8,13,34,2000,18
8,NLD,12,9,4,25,2000,26
9,CUB,11,11,7,29,2000,36
10,GBR,11,10,7,28,2000,40
11,ROU,11,6,9,26,2000,52
12,KOR,8,10,10,28,2000,47
13,HUN,8,6,3,17,2000,5
14,POL,6,5,3,14,2000,22
15,JPN,5,8,5,18,2000,30
16,BGR,5,6,2,13,2000,43
17,GRC,4,6,3,13,2000,66
18,SWE,4,5,3,12,2000,166
19,NOR,4,3,3,10,2000,196
20,ETH,4,1,3,8,2000,6
21,UKR,3,10,10,23,2000,83
22,KAZ,3,4,0,7,2000,35
23,BLR,3,3,11,17,2000,26
24,CAN,3,3,8,14,2000,26
25,ESP,3,3,5,11,2000,148
26,TUR,3,0,2,5,2000,59
27,IRN,3,0,1,4,2000,83
28,CZE,2,3,3,8,2000,33
29,KEN,2,3,2,7,2000,103
30,DNK,2,3,1,6,2000,104
31,FIN,2,1,1,4,2000,116
32,AUT,2,1,0,3,2000,132
33,LTU,2,0,3,5,2000,137
34,AZE,2,0,1,3,2000,195
34,BHS,2,0,1,3,2000,207
36,SVN,2,0,0,2,2000,35
37,CHE,1,6,2,9,2000,44
38,IDN,1,3,2,6,2000,3
39,SVK,1,3,1,5,2000,5
40,MEX,1,2,3,6,2000,11
41,NGA,1,2,0,3,2000,12
42,DZA,1,1,3,5,2000,12
43,UZB,1,1,2,4,2000,14
44,YUG,1,1,1,3,2000,12
44,LVA,1,1,1,3,2000,4
46,NZL,1,0,3,4,2000,104
47,EST,1,0,2,3,2000,18
47,THA,1,0,2,3,2000,15
49,HRV,1,0,1,2,2000,7
50,CMR,1,0,0,1,2000,6
50,COL,1,0,0,1,2000,10
50,MOZ,1,0,0,1,2000,10
53,BRA,0,6,6,12,2000,9
54,JAM,0,6,3,9,2000,14
55,BEL,0,2,3,5,2000,11
55,ZAF,0,2,3,5,2000,10
57,ARG,0,2,2,4,2000,7
58,TWN,0,1,4,5,2000,9
58,MAR,0,1,4,5,2000,12
60,PRK,0,1,3,4,2000,111
61,MDA,0,1,1,2,2000,151
61,SAU,0,1,1,2,2000,106
61,TTO,0,1,1,2,2000,8
64,IRL,0,1,0,1,2000,84
64,LKA,0,1,0,1,2000,42
64,URY,0,1,0,1,2000,12
64,VNM,0,1,0,1,2000,238
68,GEO,0,0,6,6,2000,67
69,CRI,0,0,2,2,2000,137
69,PRT,0,0,2,2,2000,162
71,ARM,0,0,1,1,2000,160
71,BRB,0,0,1,1,2000,211
71,CHL,0,0,1,1,2000,257
71,ISL,0,0,1,1,2000,317
71,IND,0,0,1,1,2000,537
71,ISR,0,0,1,1,2000,384
71,KWT,0,0,1,1,2000,431
71,KGZ,0,0,1,1,2000,423
71,MKD,0,0,1,1,2000,355
71,QAT,0,0,1,1,2000,339
1,USA,36,39,26,101,2004,363
2,CHN,32,17,14,63,2004,429
3,RUS,28,26,36,90,2004,526
4,AUS,17,16,17,50,2004,20
5,JPN,16,9,12,37,2004,47
6,DEU,13,16,20,49,2004,23
7,FRA,11,9,13,33,2004,3
8,ITA,10,11,11,32,2004,36
9,KOR,9,12,9,30,2004,46
10,GBR,9,9,12,30,2004,52
11,CUB,9,7,11,27,2004,41
12,HUN,8,6,3,17,2004,45
13,UKR,8,5,9,22,2004,53
14,ROU,8,5,6,19,2004,36
15,GRC,6,6,4,16,2004,49
16,BRA,5,2,3,10,2004,42
17,NOR,5,0,1,6,2004,26
18,NLD,4,9,9,22,2004,30
19,SWE,4,2,1,7,2004,15
20,ESP,3,11,6,20,2004,19
21,CAN,3,6,3,12,2004,26
22,TUR,3,3,4,10,2004,40
23,POL,3,2,5,10,2004,48
24,NZL,3,2,0,5,2004,24
25,THA,3,1,4,8,2004,19
26,BLR,2,5,6,13,2004,27
27,AUT,2,4,1,7,2004,27
28,ETH,2,3,2,7,2004,29
29,IRN,2,2,2,6,2004,34
29,SVK,2,2,2,6,2004,38
31,TWN,2,2,1,5,2004,38
32,GEO,2,2,0,4,2004,35
33,BGR,2,1,9,12,2004,650
34,DNK,2,1,5,8,2004,5
35,JAM,2,1,2,5,2004,3
35,UZB,2,1,2,5,2004,1
37,MAR,2,1,0,3,2004,4
38,ARG,2,0,4,6,2004,5
39,CHL,2,0,1,3,2004,26
40,KAZ,1,4,3,8,2004,41
41,KEN,1,4,2,7,2004,36
42,CZE,1,3,5,9,2004,21
43,ZAF,1,3,2,6,2004,9
44,HRV,1,2,2,5,2004,9
45,LTU,1,2,0,3,2004,6
46,EGY,1,1,3,5,2004,9
46,CHE,1,1,3,5,2004,53
48,IDN,1,1,2,4,2004,32
49,ZWE,1,1,1,3,2004,36
50,AZE,1,0,4,5,2004,18
51,BEL,1,0,2,3,2004,94
52,BHS,1,0,1,2,2004,233
52,ISR,1,0,1,2,2004,136
54,CMR,1,0,0,1,2004,253
54,DOM,1,0,0,1,2004,132
54,ARE,1,0,0,1,2004,66
57,PRK,0,4,1,5,2004,186
58,LVA,0,4,0,4,2004,215
59,MEX,0,3,1,4,2004,412
60,PRT,0,2,1,3,2004,147
61,FIN,0,2,0,2,2004,219
63,SVN,0,1,3,4,2004,126
64,EST,0,1,2,3,2004,133
65,HKG,0,1,0,1,2004,108
65,IND,0,1,0,1,2004,125
65,PRY,0,1,0,1,2004,107
68,COL,0,0,2,2,2004,101
68,NGA,0,0,2,2,2004,130
68,VEN,0,0,2,2,2004,105
71,ERI,0,0,1,1,2004,88
71,MNG,0,0,1,1,2004,67
71,SYR,0,0,1,1,2004,70
71,TTO,0,0,1,1,2004,69
1,CHN,48,22,30,100,2008,67
2,USA,36,39,37,112,2008,49
3,RUS,24,13,23,60,2008,62
4,GBR,19,13,19,51,2008,26
5,DEU,16,11,14,41,2008,1071
6,AUS,14,15,17,46,2008,2
7,KOR,13,11,8,32,2008,174
8,JPN,9,8,8,25,2008,319
9,ITA,8,9,10,27,2008,232
10,FRA,7,16,20,43,2008,452
11,NLD,7,5,4,16,2008,636
12,UKR,7,4,11,22,2008,422
13,KEN,6,4,6,16,2008,159
14,ESP,5,11,3,19,2008,303
15,JAM,5,4,2,11,2008,433
16,POL,4,5,2,11,2008,408
17,ETH,4,2,1,7,2008,227
18,ROU,4,1,4,9,2008,363
19,CUB,3,10,17,30,2008,214
20,CAN,3,9,8,20,2008,311
21,HUN,3,5,2,10,2008,356
22,NOR,3,5,1,9,2008,302
23,BRA,3,4,10,17,2008,200
24,BLR,3,4,7,14,2008,354
25,CZE,3,3,1,7,2008,413
26,SVK,3,3,0,6,2008,486
27,NZL,3,2,4,9,2008,453
28,GEO,3,2,2,7,2008,470
29,KAZ,2,3,4,9,2008,461
30,DNK,2,2,3,7,2008,448
31,PRK,2,2,2,6,2008,426
31,THA,2,2,2,6,2008,512
33,MNG,2,2,0,4,2008,538
34,CHE,2,1,4,7,2008,801
35,ARG,2,0,4,6,2008,432
36,MEX,2,0,2,4,2008,587
37,BEL,2,0,0,2,2008,452
38,ZWE,1,3,0,4,2008,571
39,SVN,1,2,2,5,2008,516
40,AZE,1,1,4,6,2008,5
40,IDN,1,1,4,6,2008,5
42,BGR,1,1,3,5,2008,5
42,TUR,1,1,3,5,2008,6
44,TWN,1,1,2,4,2008,5
44,FIN,1,1,2,4,2008,3
46,LVA,1,1,1,3,2008,3
47,DOM,1,1,0,2,2008,1
47,EST,1,1,0,2,2008,4
47,PRT,1,1,0,2,2008,2
47,TTO,1,1,0,2,2008,5
51,IND,1,0,2,3,2008,9
52,IRN,1,0,1,2,2008,6
53,CMR,1,0,0,1,2008,5
53,PAN,1,0,0,1,2008,4
53,TUN,1,0,0,1,2008,21
56,SWE,0,4,1,5,2008,6
57,LTU,0,3,2,5,2008,5
57,NGA,0,3,2,5,2008,5
59,HRV,0,2,3,5,2008,16
60,COL,0,2,1,3,2008,6
60,GRC,0,2,1,3,2008,8
62,ARM,0,1,4,5,2008,12
63,UZB,0,1,3,4,2008,2
64,AUT,0,1,2,3,2008,3
64,IRL,0,1,2,3,2008,3
64,KGZ,0,1,2,3,2008,2
64,SRB,0,1,2,3,2008,4
68,DZA,0,1,1,2,2008,5
68,BHS,0,1,1,2,2008,8
68,MAR,0,1,1,2,2008,25
68,TJK,0,1,1,2,2008,146
72,CHL,0,1,0,1,2008,6
72,ECU,0,1,0,1,2008,113
72,ISL,0,1,0,1,2008,972
72,MYS,0,1,0,1,2008,461
72,WSM,0,1,0,1,2008,345
72,SGP,0,1,0,1,2008,428
72,ZAF,0,1,0,1,2008,354
72,SDN,0,1,0,1,2008,170
72,VNM,0,1,0,1,2008,250
81,EGY,0,0,2,2,2008,590
82,AFG,0,0,1,1,2008,401
82,ISR,0,0,1,1,2008,283
82,MUS,0,0,1,1,2008,389
82,MDA,0,0,1,1,2008,301
82,TGO,0,0,1,1,2008,328
82,VEN,0,0,1,1,2008,433
1,USA,48,26,30,104,2012,353
2,CHN,39,31,22,92,2012,328
3,GBR,29,18,18,65,2012,509
4,RUS,18,21,26,65,2012,472
5,KOR,13,9,9,31,2012,512
6,DEU,11,20,13,44,2012,391
7,FRA,11,11,13,35,2012,415
8,AUS,8,15,12,35,2012,360
9,ITA,8,9,11,28,2012,420
10,HUN,8,4,6,18,2012,684
11,JPN,7,14,17,38,2012,478
12,IRN,7,5,1,13,2012,548
13,NLD,6,6,8,20,2012,533
14,NZL,6,2,5,13,2012,3
15,UKR,5,4,10,19,2012,3
16,CUB,5,3,7,15,2012,3
17,ESP,4,10,6,20,2012,3
18,JAM,4,5,4,13,2012,4
19,CZE,4,4,3,11,2012,5
20,ZAF,4,1,1,6,2012,4
21,PRK,4,0,2,6,2012,6
22,BRA,3,5,9,17,2012,346
23,KAZ,3,2,6,11,2012,454
23,POL,3,2,6,11,2012,407
25,ETH,3,2,3,8,2012,495
26,HRV,3,1,2,6,2012,402
27,CAN,2,6,10,18,2012,42
28,BLR,2,5,3,10,2012,47
29,KEN,2,4,7,13,2012,39
30,DNK,2,4,3,9,2012,38
31,ROU,2,4,1,7,2012,36
32,AZE,2,2,5,9,2012,45
33,CHE,2,2,0,4,2012,36
34,NOR,2,1,1,4,2012,38
35,LTU,2,0,3,5,2012,5
36,TUN,2,0,1,3,2012,7
37,SWE,1,4,3,8,2012,8
38,COL,1,3,5,9,2012,8
39,MEX,1,3,4,8,2012,4
40,GEO,1,2,3,6,2012,2
41,IRL,1,1,4,6,2012,3
42,ARG,1,1,2,4,2012,2
42,SRB,1,1,2,4,2012,1
42,SVN,1,1,2,4,2012,3
42,TTO,1,1,2,4,2012,3
46,TUR,1,1,1,3,2012,94
47,DOM,1,1,0,2,2012,103
48,TWN,1,0,1,2,2012,55
48,LVA,1,0,1,2,2012,157
50,DZA,1,0,0,1,2012,148
50,BHS,1,0,0,1,2012,312
50,BHR,1,0,0,1,2012,399
50,GRD,1,0,0,1,2012,202
50,UGA,1,0,0,1,2012,581
50,VEN,1,0,0,1,2012,365
56,EGY,0,3,1,4,2012,261
57,IND,0,2,4,6,2012,425
58,MNG,0,2,3,5,2012,478
59,THA,0,2,2,4,2012,653
60,BGR,0,2,1,3,2012,626
60,FIN,0,2,1,3,2012,567
60,IDN,0,2,1,3,2012,592
63,SVK,0,1,3,4,2012,558
64,BEL,0,1,2,3,2012,510
65,ARM,0,1,1,2,2012,536
65,EST,0,1,1,2,2012,597
65,MYS,0,1,1,2,2012,647
65,PRI,0,1,1,2,2012,9
65,QAT,0,1,1,2,2012,15
70,BWA,0,1,0,1,2012,40
70,CYP,0,1,0,1,2012,36
70,GAB,0,1,0,1,2012,41
70,GTM,0,1,0,1,2012,27
70,MNE,0,1,0,1,2012,21
70,PRT,0,1,0,1,2012,41
76,UZB,0,0,3,3,2012,40
77,GRC,0,0,2,2,2012,28
77,SGP,0,0,2,2,2012,29
79,AFG,0,0,1,1,2012,9
79,CMR,0,0,1,1,2012,7
79,HKG,0,0,1,1,2012,15
79,KWT,0,0,1,1,2012,16
79,MAR,0,0,1,1,2012,11
79,SAU,0,0,1,1,2012,148
79,TJK,0,0,1,1,2012,4
79,VNM,0,0,1,1,2012,17
1,USA,46,37,38,121,2016,484
2,GBR,27,23,17,67,2016,49
3,CHN,26,18,26,70,2016,77
4,RUS,19,17,20,56,2016,98
5,DEU,17,10,15,42,2016,79
6,JPN,12,8,21,41,2016,47
7,FRA,10,18,14,42,2016,16
8,KOR,9,3,9,21,2016,64
9,ITA,8,12,8,28,2016,97
10,AUS,8,11,10,29,2016,54
11,NLD,8,7,4,19,2016,16
12,HUN,8,3,4,15,2016,59
13,BRA,7,6,6,19,2016,19
14,ESP,7,4,6,17,2016,44
15,KEN,6,6,1,13,2016,66
16,JAM,6,3,2,11,2016,40
17,HRV,5,3,2,10,2016,45
18,CUB,5,2,4,11,2016,73
19,NZL,4,9,5,18,2016,72
20,CAN,4,3,15,22,2016,76
21,UZB,4,2,7,13,2016,180
22,COL,3,2,3,8,2016,175
23,CHE,3,2,2,7,2016,499
24,IRN,3,1,4,8,2016,176
25,GRC,3,1,2,6,2016,115
26,ARG,3,1,0,4,2016,104
27,DNK,2,6,7,15,2016,100
28,SWE,2,6,3,11,2016,126
29,ZAF,2,6,2,10,2016,6
30,KAZ,2,5,10,17,2016,7
31,UKR,2,5,4,11,2016,5
32,SRB,2,4,2,8,2016,5
33,POL,2,3,6,11,2016,3
34,PRK,2,3,2,7,2016,5
35,BEL,2,2,2,6,2016,9
35,THA,2,2,2,6,2016,8
37,SVK,2,2,0,4,2016,6
38,GEO,2,1,4,7,2016,6
39,AZE,1,7,10,18,2016,6
40,BLR,1,4,4,9,2016,1
41,TUR,1,3,4,8,2016,35
42,ARM,1,3,0,4,2016,67
43,CZE,1,2,7,10,2016,11
44,ETH,1,2,5,8,2016,28
45,SVN,1,2,1,4,2016,10
46,IDN,1,2,0,3,2016,53
47,ROU,1,1,2,4,2016,37
48,BHR,1,1,0,2,2016,41
48,VNM,1,1,0,2,2016,28
50,TWN,1,0,2,3,2016,18
51,BHS,1,0,1,2,2016,19
51,CIV,1,0,1,2,2016,13
54,FJI,1,0,0,1,2016,24
54,JOR,1,0,0,1,2016,25
54,PRI,1,0,0,1,2016,16
54,SGP,1,0,0,1,2016,15
54,TJK,1,0,0,1,2016,10
60,MYS,0,4,1,5,2016,1
61,MEX,0,3,2,5,2016,7
62,VEN,0,2,1,3,2016,11
63,DZA,0,2,0,2,2016,5
63,IRL,0,2,0,2,2016,6
65,LTU,0,1,3,4,2016,4
66,BGR,0,1,2,3,2016,5
67,IND,0,1,1,2,2016,4
67,MNG,0,1,1,2,2016,5
69,BDI,0,1,0,1,2016,5
69,GRD,0,1,0,1,2016,25
69,NER,0,1,0,1,2016,26
69,PHL,0,1,0,1,2016,45
69,QAT,0,1,0,1,2016,9
74,NOR,0,0,4,4,2016,7
75,EGY,0,0,3,3,2016,4
75,TUN,0,0,3,3,2016,7
77,ISR,0,0,2,2,2016,8
78,AUT,0,0,1,1,2016,5
78,DOM,0,0,1,1,2016,5
78,EST,0,0,1,1,2016,9
78,FIN,0,0,1,1,2016,7
78,MAR,0,0,1,1,2016,1
78,NGA,0,0,1,1,2016,6
78,PRT,0,0,1,1,2016,6
78,TTO,0,0,1,1,2016,1
78,ARE,0,0,1,1,2016,6
1,USA,39,41,33,113,2020,4
2,CHN,38,32,19,89,2020,10
3,JPN,27,14,17,58,2020,12
4,GBR,22,20,22,64,2020,8
6,AUS,17,7,22,46,2020,9
7,NLD,10,12,14,36,2020,4
8,FRA,10,12,11,33,2020,4
9,DEU,10,11,16,37,2020,4
10,ITA,10,10,20,40,2020,6
11,CAN,7,7,10,24,2020,7
12,BRA,7,6,8,21,2020,7
13,NZL,7,6,7,20,2020,5
14,CUB,7,3,5,15,2020,4
15,HUN,6,7,7,20,2020,16
16,KOR,6,4,10,20,2020,3
17,POL,4,5,5,14,2020,3
18,CZE,4,4,3,11,2020,1
19,KEN,4,4,2,10,2020,7
20,NOR,4,2,2,8,2020,14
21,JAM,4,1,4,9,2020,3
22,ESP,3,8,6,17,2020,5
23,SWE,3,6,0,9,2020,8
24,CHE,3,4,6,13,2020,7
25,DNK,3,4,4,11,2020,5
26,HRV,3,3,2,8,2020,8
27,IRN,3,2,2,7,2020,7
28,SRB,3,1,5,9,2020,5
29,BEL,3,1,3,7,2020,10
30,BGR,3,1,2,6,2020,6
31,SVN,3,1,1,5,2020,12
32,UZB,3,0,2,5,2020,9
33,GEO,2,5,1,8,2020,4
34,TWN,2,4,6,12,2020,4
35,TUR,2,2,9,13,2020,50
36,GRC,2,1,1,4,2020,25
36,UGA,2,1,1,4,2020,18
38,ECU,2,1,0,3,2020,50
39,IRL,2,0,2,4,2020,87
39,ISR,2,0,2,4,2020,91
41,QAT,2,0,1,3,2020,66
42,BHS,2,0,0,2,2020,32
44,UKR,1,6,12,19,2020,42
45,BLR,1,3,3,7,2020,47
46,ROU,1,3,0,4,2020,55
46,VEN,1,3,0,4,2020,47
48,IND,1,2,4,7,2020,65
49,HKG,1,2,3,6,2020,51
50,PHL,1,2,1,4,2020,6
50,SVK,1,2,1,4,2020,3
52,ZAF,1,2,0,3,2020,26
53,AUT,1,1,5,7,2020,18
54,EGY,1,1,4,6,2020,27
55,IDN,1,1,3,5,2020,7
56,ETH,1,1,2,4,2020,20
56,PRT,1,1,2,4,2020,5
58,TUN,1,1,0,2,2020,26
59,EST,1,0,1,2,2020,25
59,FJI,1,0,1,2,2020,23
59,LVA,1,0,1,2,2020,28
59,THA,1,0,1,2,2020,4
63,BMU,1,0,0,1,2020,18
63,MAR,1,0,0,1,2020,34
63,PRI,1,0,0,1,2020,9
66,COL,0,4,1,5,2020,99
67,AZE,0,3,4,7,2020,107
68,DOM,0,3,2,5,2020,207
69,ARM,0,2,2,4,2020,140
70,KGZ,0,2,1,3,2020,219
71,MNG,0,1,3,4,2020,118
72,ARG,0,1,2,3,2020,335
72,SMR,0,1,2,3,2020,222
74,JOR,0,1,1,2,2020,345
74,MYS,0,1,1,2,2020,197
74,NGA,0,1,1,2,2020,312
77,BHR,0,1,0,1,2020,319
77,LTU,0,1,0,1,2020,303
77,NAM,0,1,0,1,2020,367
77,MKD,0,1,0,1,2020,288
77,SAU,0,1,0,1,2020,392
77,TKM,0,1,0,1,2020,315
83,KAZ,0,0,8,8,2020,351
84,MEX,0,0,4,4,2020,315
85,FIN,0,0,2,2,2020,238
86,BWA,0,0,1,1,2020,258
86,BFA,0,0,1,1,2020,216
86,GHA,0,0,1,1,2020,201
86,GRD,0,0,1,1,2020,204
86,CIV,0,0,1,1,2020,237
86,KWT,0,0,1,1,2020,255
86,MDA,0,0,1,1,2020,3
86,SYR,0,0,1,1,2020,24
1,USA,40,44,42,126,2024,27
2,CHN,40,27,24,91,2024,6
3,JPN,20,12,13,45,2024,7
4,AUS,18,19,16,53,2024,11
5,FRA,16,26,22,64,2024,23
6,NLD,15,7,12,34,2024,43
7,GBR,14,22,29,65,2024,51
8,KOR,13,9,10,32,2024,45
9,ITA,12,13,15,40,2024,54
10,DEU,12,13,8,33,2024,39
11,NZL,10,7,3,20,2024,26
12,CAN,9,7,11,27,2024,22
13,UZB,8,2,3,13,2024,31
14,HUN,6,7,6,19,2024,35
15,ESP,5,4,9,18,2024,36
16,SWE,4,4,3,11,2024,5
17,KEN,4,2,5,11,2024,7
18,NOR,4,1,3,8,2024,24
19,IRL,4,0,3,7,2024,24
20,BRA,3,7,10,20,2024,26
21,IRN,3,6,3,12,2024,30
22,UKR,3,5,4,12,2024,89
23,ROU,3,4,2,9,2024,94
24,GEO,3,3,1,7,2024,79
25,BEL,3,1,6,10,2024,49
26,BGR,3,1,3,7,2024,111
27,SRB,3,1,1,5,2024,27
28,CZE,3,0,2,5,2024,43
29,DNK,2,2,5,9,2024,26
30,AZE,2,2,3,7,2024,78
30,HRV,2,2,3,7,2024,53
32,CUB,2,1,6,9,2024,55
33,BHR,2,1,1,4,2024,61
34,SVN,2,1,0,3,2024,54
35,TWN,2,0,5,7,2024,70
36,AUT,2,0,3,5,2024,81
37,HKG,2,0,2,4,2024,67
37,PHL,2,0,2,4,2024,95
39,DZA,2,0,1,3,2024,130
39,IDN,2,0,1,3,2024,151
41,ISR,1,5,1,7,2024,138
42,POL,1,4,5,10,2024,76
43,KAZ,1,3,3,7,2024,4
44,JAM,1,3,2,6,2024,4
44,ZAF,1,3,2,6,2024,9
44,THA,1,3,2,6,2024,1
47,ETH,1,3,0,4,2024,39
48,CHE,1,2,5,8,2024,23
49,ECU,1,2,2,5,2024,17
50,PRT,1,2,1,4,2024,24
51,GRC,1,1,6,8,2024,96
52,ARG,1,1,1,3,2024,14
52,EGY,1,1,1,3,2024,56
52,TUN,1,1,1,3,2024,104
55,BWA,1,1,0,2,2024,26
55,CHL,1,1,0,2,2024,44
55,LCA,1,1,0,2,2024,18
55,UGA,1,1,0,2,2024,34
59,DOM,1,0,2,3,2024,37
60,GTM,1,0,1,2,2024,55
60,MAR,1,0,1,2,2024,57
62,DMA,1,0,0,1,2024,67
62,PAK,1,0,0,1,2024,76
64,TUR,0,3,5,8,2024,46
65,MEX,0,3,2,5,2024,60
66,ARM,0,3,1,4,2024,44
66,COL,0,3,1,4,2024,18
68,KGZ,0,2,4,6,2024,83
68,PRK,0,2,4,6,2024,25
70,LTU,0,2,2,4,2024,25
71,IND,0,1,5,6,2024,63
72,MDA,0,1,3,4,2024,35
74,CYP,0,1,0,1,2024,84
74,FJI,0,1,0,1,2024,59
74,JOR,0,1,0,1,2024,57
74,MNG,0,1,0,1,2024,55
74,PAN,0,1,0,1,2024,78
79,TJK,0,0,3,3,2024,77
80,ALB,0,0,2,2,2024,99
80,GRD,0,0,2,2,2024,76
80,MYS,0,0,2,2,2024,55
80,PRI,0,0,2,2,2024,63
84,CPV,0,0,1,1,2024,76
84,CIV,0,0,1,1,2024,93
84,PER,0,0,1,1,2024,150
84,QAT,0,0,1,1,2024,185
84,SGP,0,0,1,1,2024,13
84,SVK,0,0,1,1,2024,28
84,ZMB,0,0,1,1,2024,19
