Rank,NOC,Gold,Silver,Bronze,Total,Year,Participants,host_flag
43,ZAF,1,3,2,6,2004,128,0
44,HRV,1,2,2,5,2004,100,0
45,LTU,1,2,0,3,2004,70,0
46,EGY,1,1,3,5,2004,104,0
46,CHE,1,1,3,5,2004,138,0
48,IDN,1,1,2,4,2004,39,0
49,ZWE,1,1,1,3,2004,14,0
50,AZE,1,0,4,5,2004,37,0
51,BEL,1,0,2,3,2004,70,0
52,BHS,1,0,1,2,2004,28,0
52,ISR,1,0,1,2,2004,46,0
54,CMR,1,0,0,1,2004,19,0
54,DOM,1,0,0,1,2004,33,0
54,ARE,1,0,0,1,2004,5,0
57,PRK,0,4,1,5,2004,71,0
58,LVA,0,4,0,4,2004,45,0
59,MEX,0,3,1,4,2004,137,0
60,PRT,0,2,1,3,2004,93,0
61,FIN,0,2,0,2,2004,67,0
63,SVN,0,1,3,4,2004,102,0
64,EST,0,1,2,3,2004,45,0
65,HKG,0,1,0,1,2004,42,0
65,IND,0,1,0,1,2004,81,0
65,PRY,0,1,0,1,2004,22,0
68,COL,0,0,2,2,2004,71,0
68,NGA,0,0,2,2,2004,79,0
68,VEN,0,0,2,2,2004,53,0
71,ERI,0,0,1,1,2004,5,0
71,MNG,0,0,1,1,2004,21,0
71,SYR,0,0,1,1,2004,6,0
71,TTO,0,0,1,1,2004,26,0
1,CHN,48,22,30,100,2008,730,1
2,USA,36,39,37,112,2008,763,0
3,RUS,24,13,23,60,2008,600,0
4,GBR,19,13,19,51,2008,420,0
5,DEU,16,11,14,41,2008,558,0
6,AUS,14,15,17,46,2008,570,0
7,KOR,13,11,8,32,2008,329,0
8,JPN,9,8,8,25,2008,457,0
9,ITA,8,9,10,27,2008,459,0
10,FRA,7,16,20,43,2008,448,0
11,NLD,7,5,4,16,2008,283,0
12,UKR,7,4,11,22,2008,327,0
13,KEN,6,4,6,16,2008,47,0
14,ESP,5,11,3,19,2008,355,0
15,JAM,5,4,2,11,2008,66,0
16,POL,4,5,2,11,2008,316,0
17,ETH,4,2,1,7,2008,29,0
18,ROU,4,1,4,9,2008,172,0
19,CUB,3,10,17,30,2008,171,0
20,CAN,3,9,8,20,2008,449,0
21,HUN,3,5,2,10,2008,216,0
22,NOR,3,5,1,9,2008,102,0
23,BRA,3,4,10,17,2008,338,0
24,BLR,3,4,7,14,2008,237,0
25,CZE,3,3,1,7,2008,158,0
26,SVK,3,3,0,6,2008,67,0
27,NZL,3,2,4,9,2008,201,0
28,GEO,3,2,2,7,2008,38,0
29,KAZ,2,3,4,9,2008,146,0
30,DNK,2,2,3,7,2008,108,0
31,PRK,2,2,2,6,2008,66,0
31,THA,2,2,2,6,2008,53,0
33,MNG,2,2,0,4,2008,31,0
34,CHE,2,1,4,7,2008,116,0
35,ARG,2,0,4,6,2008,145,0
36,MEX,2,0,2,4,2008,103,0
37,BEL,2,0,0,2,2008,112,0
38,ZWE,1,3,0,4,2008,16,0
39,SVN,1,2,2,5,2008,73,0
40,AZE,1,1,4,6,2008,44,0
40,IDN,1,1,4,6,2008,26,0
42,BGR,1,1,3,5,2008,87,0
42,TUR,1,1,3,5,2008,71,0
44,TWN,1,1,2,4,2008,92,0
44,FIN,1,1,2,4,2008,70,0
46,LVA,1,1,1,3,2008,53,0
47,DOM,1,1,0,2,2008,27,0
47,EST,1,1,0,2,2008,53,0
47,PRT,1,1,0,2,2008,87,0
47,TTO,1,1,0,2,2008,35,0
51,IND,1,0,2,3,2008,67,0
52,IRN,1,0,1,2,2008,55,0
53,CMR,1,0,0,1,2008,32,0
53,PAN,1,0,0,1,2008,5,0
53,TUN,1,0,0,1,2008,29,0
56,SWE,0,4,1,5,2008,169,0
57,LTU,0,3,2,5,2008,78,0
57,NGA,0,3,2,5,2008,89,0
59,HRV,0,2,3,5,2008,125,0
60,COL,0,2,1,3,2008,90,0
60,GRC,0,2,1,3,2008,176,0
62,ARM,0,1,4,5,2008,26,0
63,UZB,0,1,3,4,2008,69,0
64,AUT,0,1,2,3,2008,93,0
64,IRL,0,1,2,3,2008,63,0
64,KGZ,0,1,2,3,2008,22,0
64,SRB,0,1,2,3,2008,97,0
68,DZA,0,1,1,2,2008,57,0
68,BHS,0,1,1,2,2008,33,0
68,MAR,0,1,1,2,2008,49,0
68,TJK,0,1,1,2,2008,16,0
72,CHL,0,1,0,1,2008,29,0
72,ECU,0,1,0,1,2008,26,0
72,ISL,0,1,0,1,2008,31,0
72,MYS,0,1,0,1,2008,42,0
72,WSM,0,1,0,1,2008,7,0
72,SGP,0,1,0,1,2008,36,0
72,ZAF,0,1,0,1,2008,179,0
72,SDN,0,1,0,1,2008,9,0
72,VNM,0,1,0,1,2008,250,0
81,EGY,0,0,2,2,2008,116,0
82,AFG,0,0,1,1,2008,4,0
82,ISR,0,0,1,1,2008,60,0
82,MUS,0,0,1,1,2008,11,0
82,MDA,0,0,1,1,2008,30,0
82,TGO,0,0,1,1,2008,4,0
82,VEN,0,0,1,1,2008,126,0
1,USA,48,26,30,104,2012,689,0
2,CHN,39,31,22,92,2012,479,0
3,GBR,29,18,18,65,2012,684,1
4,RUS,18,21,26,65,2012,549,0
5,KOR,13,9,9,31,2012,312,0
6,DEU,11,20,13,44,2012,510,0
7,FRA,11,11,13,35,2012,426,0
8,AUS,8,15,12,35,2012,514,0
9,ITA,8,9,11,28,2012,382,0
10,HUN,8,4,6,18,2012,201,0
11,JPN,7,14,17,38,2012,399,0
12,IRN,7,5,1,13,2012,57,0
13,NLD,6,6,8,20,2012,222,0
14,NZL,6,2,5,13,2012,204,0
15,UKR,5,4,10,19,2012,304,0
16,CUB,5,3,7,15,2012,118,0
17,ESP,4,10,6,20,2012,339,0
18,JAM,4,5,4,13,2012,62,0
19,CZE,4,4,3,11,2012,159,0
20,ZAF,4,1,1,6,2012,145,0
21,PRK,4,0,2,6,2012,57,0
22,BRA,3,5,9,17,2012,306,0
23,KAZ,3,2,6,11,2012,132,0
23,POL,3,2,6,11,2012,256,0
25,ETH,3,2,3,8,2012,34,0
26,HRV,3,1,2,6,2012,118,0
27,CAN,2,6,10,18,2012,354,0
28,BLR,2,5,3,10,2012,185,0
29,KEN,2,4,7,13,2012,51,0
30,DNK,2,4,3,9,2012,149,0
31,ROU,2,4,1,7,2012,155,0
32,AZE,2,2,5,9,2012,59,0
33,CHE,2,2,0,4,2012,126,0
34,NOR,2,1,1,4,2012,69,0
35,LTU,2,0,3,5,2012,72,0
36,TUN,2,0,1,3,2012,87,0
37,SWE,1,4,3,8,2012,168,0
38,COL,1,3,5,9,2012,120,0
39,MEX,1,3,4,8,2012,119,0
40,GEO,1,2,3,6,2012,36,0
41,IRL,1,1,4,6,2012,76,0
42,ARG,1,1,2,4,2012,148,0
42,SRB,1,1,2,4,2012,134,0
42,SVN,1,1,2,4,2012,78,0
42,TTO,1,1,2,4,2012,38,0
46,TUR,1,1,1,3,2012,119,0
47,DOM,1,1,0,2,2012,36,0
48,TWN,1,0,1,2,2012,55,0
48,LVA,1,0,1,2,2012,50,0
50,DZA,1,0,0,1,2012,39,0
50,BHS,1,0,0,1,2012,29,0
50,BHR,1,0,0,1,2012,14,0
50,GRD,1,0,0,1,2012,8,0
50,UGA,1,0,0,1,2012,16,0
50,VEN,1,0,0,1,2012,85,0
56,EGY,0,3,1,4,2012,132,0
57,IND,0,2,4,6,2012,95,0
58,MNG,0,2,3,5,2012,32,0
59,THA,0,2,2,4,2012,43,0
60,BGR,0,2,1,3,2012,75,0
60,FIN,0,2,1,3,2012,69,0
60,IDN,0,2,1,3,2012,22,0
63,SVK,0,1,3,4,2012,65,0
64,BEL,0,1,2,3,2012,142,0
65,ARM,0,1,1,2,2012,31,0
65,EST,0,1,1,2,2012,36,0
65,MYS,0,1,1,2,2012,38,0
65,PRI,0,1,1,2,2012,28,0
65,QAT,0,1,1,2,2012,14,0
70,BWA,0,1,0,1,2012,4,0
70,CYP,0,1,0,1,2012,13,0
70,GAB,0,1,0,1,2012,21,0
70,GTM,0,1,0,1,2012,24,0
70,MNE,0,1,0,1,2012,34,0
70,PRT,0,1,0,1,2012,98,0
76,UZB,0,0,3,3,2012,56,0
77,GRC,0,0,2,2,2012,115,0
77,SGP,0,0,2,2,2012,36,0
79,AFG,0,0,1,1,2012,6,0
79,CMR,0,0,1,1,2012,32,0
79,HKG,0,0,1,1,2012,55,0
79,KWT,0,0,1,1,2012,12,0
79,MAR,0,0,1,1,2012,67,0
79,SAU,0,0,1,1,2012,23,0
79,TJK,0,0,1,1,2012,16,0
79,VNM,0,0,1,1,2012,17,0
1,USA,46,37,38,121,2016,719,0
2,GBR,27,23,17,67,2016,478,0
3,CHN,26,18,26,70,2016,499,0
4,RUS,19,17,20,56,2016,406,0
5,DEU,17,10,15,42,2016,536,0
6,JPN,12,8,21,41,2016,436,0
7,FRA,10,18,14,42,2016,512,0
8,KOR,9,3,9,21,2016,263,0
9,ITA,8,12,8,28,2016,399,0
10,AUS,8,11,10,29,2016,518,0
11,NLD,8,7,4,19,2016,329,0
12,HUN,8,3,4,15,2016,204,0
13,BRA,7,6,6,19,2016,583,1
14,ESP,7,4,6,17,2016,363,0
15,KEN,6,6,1,13,2016,80,0
16,JAM,6,3,2,11,2016,77,0
17,HRV,5,3,2,10,2016,93,0
18,CUB,5,2,4,11,2016,143,0
19,NZL,4,9,5,18,2016,232,0
20,CAN,4,3,15,22,2016,405,0
21,UZB,4,2,7,13,2016,80,0
22,COL,3,2,3,8,2016,157,0
23,CHE,3,2,2,7,2016,152,0
24,IRN,3,1,4,8,2016,67,0
25,GRC,3,1,2,6,2016,104,0
26,ARG,3,1,0,4,2016,232,0
27,DNK,2,6,7,15,2016,143,0
28,SWE,2,6,3,11,2016,186,0
29,ZAF,2,6,2,10,2016,155,0
30,KAZ,2,5,10,17,2016,123,0
31,UKR,2,5,4,11,2016,272,0
32,SRB,2,4,2,8,2016,127,0
33,POL,2,3,6,11,2016,289,0
34,PRK,2,3,2,7,2016,38,0
35,BEL,2,2,2,6,2016,138,0
35,THA,2,2,2,6,2016,58,0
37,SVK,2,2,0,4,2016,63,0
38,GEO,2,1,4,7,2016,45,0
39,AZE,1,7,10,18,2016,69,0
40,BLR,1,4,4,9,2016,142,0
41,TUR,1,3,4,8,2016,119,0
42,ARM,1,3,0,4,2016,34,0
43,CZE,1,2,7,10,2016,135,0
44,ETH,1,2,5,8,2016,38,0
45,SVN,1,2,1,4,2016,70,0
46,IDN,1,2,0,3,2016,31,0
47,ROU,1,1,2,4,2016,121,0
48,BHR,1,1,0,2,2016,33,0
48,VNM,1,1,0,2,2016,28,0
50,TWN,1,0,2,3,2016,67,0
51,BHS,1,0,1,2,2016,38,0
51,CIV,1,0,1,2,2016,15,0
54,FJI,1,0,0,1,2016,53,0
54,JOR,1,0,0,1,2016,8,0
54,PRI,1,0,0,1,2016,41,0
54,SGP,1,0,0,1,2016,32,0
54,TJK,1,0,0,1,2016,7,0
60,MYS,0,4,1,5,2016,42,0
61,MEX,0,3,2,5,2016,139,0
62,VEN,0,2,1,3,2016,105,0
63,DZA,0,2,0,2,2016,74,0
63,IRL,0,2,0,2,2016,93,0
65,LTU,0,1,3,4,2016,80,0
66,BGR,0,1,2,3,2016,58,0
67,IND,0,1,1,2,2016,130,0
67,MNG,0,1,1,2,2016,46,0
69,BDI,0,1,0,1,2016,10,0
69,GRD,0,1,0,1,2016,6,0
69,NER,0,1,0,1,2016,6,0
69,PHL,0,1,0,1,2016,13,0
69,QAT,0,1,0,1,2016,42,0
74,NOR,0,0,4,4,2016,77,0
75,EGY,0,0,3,3,2016,137,0
75,TUN,0,0,3,3,2016,65,0
77,ISR,0,0,2,2,2016,59,0
78,AUT,0,0,1,1,2016,85,0
78,DOM,0,0,1,1,2016,30,0
78,EST,0,0,1,1,2016,49,0
78,FIN,0,0,1,1,2016,67,0
78,MAR,0,0,1,1,2016,52,0
78,NGA,0,0,1,1,2016,77,0
78,PRT,0,0,1,1,2016,106,0
78,TTO,0,0,1,1,2016,43,0
78,ARE,0,0,1,1,2016,12,0
1,USA,39,41,33,113,2020,856,0
2,CHN,38,32,19,89,2020,574,0
3,JPN,27,14,17,58,2020,787,1
4,GBR,22,20,22,64,2020,548,0
6,AUS,17,7,22,46,2020,638,0
7,NLD,10,12,14,36,2020,391,0
8,FRA,10,12,11,33,2020,538,0
9,DEU,10,11,16,37,2020,597,0
10,ITA,10,10,20,40,2020,524,0
11,CAN,7,7,10,24,2020,509,0
12,BRA,7,6,8,21,2020,416,0
13,NZL,7,6,7,20,2020,279,0
14,CUB,7,3,5,15,2020,82,0
15,HUN,6,7,7,20,2020,237,0
16,KOR,6,4,10,20,2020,338,0
17,POL,4,5,5,14,2020,282,0
18,CZE,4,4,3,11,2020,151,0
19,KEN,4,4,2,10,2020,89,0
20,NOR,4,2,2,8,2020,112,0
21,JAM,4,1,4,9,2020,87,0
22,ESP,3,8,6,17,2020,429,0
23,SWE,3,6,0,9,2020,173,0
24,CHE,3,4,6,13,2020,196,0
25,DNK,3,4,4,11,2020,138,0
26,HRV,3,3,2,8,2020,74,0
27,IRN,3,2,2,7,2020,76,0
28,SRB,3,1,5,9,2020,110,0
29,BEL,3,1,3,7,2020,185,0
30,BGR,3,1,2,6,2020,56,0
31,SVN,3,1,1,5,2020,64,0
32,UZB,3,0,2,5,2020,85,0
33,GEO,2,5,1,8,2020,36,0
34,TWN,2,4,6,12,2020,117,0
35,TUR,2,2,9,13,2020,139,0
36,GRC,2,1,1,4,2020,100,0
36,UGA,2,1,1,4,2020,28,0
38,ECU,2,1,0,3,2020,52,0
39,IRL,2,0,2,4,2020,150,0
39,ISR,2,0,2,4,2020,128,0
41,QAT,2,0,1,3,2020,17,0
42,BHS,2,0,0,2,2020,22,0
44,UKR,1,6,12,19,2020,225,0
45,BLR,1,3,3,7,2020,137,0
46,ROU,1,3,0,4,2020,119,0
46,VEN,1,3,0,4,2020,47,0
48,IND,1,2,4,7,2020,151,0
49,HKG,1,2,3,6,2020,65,0
50,PHL,1,2,1,4,2020,27,0
50,SVK,1,2,1,4,2020,56,0
52,ZAF,1,2,0,3,2020,211,0
53,AUT,1,1,5,7,2020,103,0
54,EGY,1,1,4,6,2020,195,0
55,IDN,1,1,3,5,2020,35,0
56,ETH,1,1,2,4,2020,38,0
56,PRT,1,1,2,4,2020,113,0
58,TUN,1,1,0,2,2020,73,0
59,EST,1,0,1,2,2020,42,0
59,FJI,1,0,1,2,2020,32,0
59,LVA,1,0,1,2,2020,38,0
59,THA,1,0,1,2,2020,48,0
63,BMU,1,0,0,1,2020,2,0
63,MAR,1,0,0,1,2020,51,0
63,PRI,1,0,0,1,2020,39,0
66,COL,0,4,1,5,2020,77,0
67,AZE,0,3,4,7,2020,55,0
68,DOM,0,3,2,5,2020,69,0
69,ARM,0,2,2,4,2020,19,0
70,KGZ,0,2,1,3,2020,17,0
71,MNG,0,1,3,4,2020,61,0
72,ARG,0,1,2,3,2020,208,0
72,SMR,0,1,2,3,2020,8,0
74,JOR,0,1,1,2,2020,15,0
74,MYS,0,1,1,2,2020,47,0
74,NGA,0,1,1,2,2020,68,0
77,BHR,0,1,0,1,2020,33,0
77,LTU,0,1,0,1,2020,59,0
77,NAM,0,1,0,1,2020,11,0
77,MKD,0,1,0,1,2020,8,0
77,SAU,0,1,0,1,2020,33,0
77,TKM,0,1,0,1,2020,10,0
83,KAZ,0,0,8,8,2020,116,0
84,MEX,0,0,4,4,2020,196,0
85,FIN,0,0,2,2,2020,49,0
86,BWA,0,0,1,1,2020,16,0
86,BFA,0,0,1,1,2020,8,0
86,GHA,0,0,1,1,2020,16,0
86,GRD,0,0,1,1,2020,6,0
86,CIV,0,0,1,1,2020,32,0
86,KWT,0,0,1,1,2020,10,0
86,MDA,0,0,1,1,2020,26,0
86,SYR,0,0,1,1,2020,6,0
1,USA,40,44,42,126,2024,854,0
2,CHN,40,27,24,91,2024,587,0
3,JPN,20,12,13,45,2024,598,0
4,AUS,18,19,16,53,2024,649,0
5,FRA,16,26,22,64,2024,801,1
6,NLD,15,7,12,34,2024,449,0
7,GBR,14,22,29,65,2024,533,0
8,KOR,13,9,10,32,2024,248,0
9,ITA,12,13,15,40,2024,610,0
10,DEU,12,13,8,33,2024,647,0
11,NZL,10,7,3,20,2024,253,0
12,CAN,9,7,11,27,2024,538,0
13,UZB,8,2,3,13,2024,119,0
14,HUN,6,7,6,19,2024,255,0
15,ESP,5,4,9,18,2024,526,0
16,SWE,4,4,3,11,2024,173,0
17,KEN,4,2,5,11,2024,77,0
18,NOR,4,1,3,8,2024,128,0
19,IRL,4,0,3,7,2024,185,0
20,BRA,3,7,10,20,2024,401,0
21,IRN,3,6,3,12,2024,46,0
22,UKR,3,5,4,12,2024,212,0
23,ROU,3,4,2,9,2024,144,0
24,GEO,3,3,1,7,2024,38,0
25,BEL,3,1,6,10,2024,240,0
26,BGR,3,1,3,7,2024,61,0
27,SRB,3,1,1,5,2024,135,0
28,CZE,3,0,2,5,2024,149,0
29,DNK,2,2,5,9,2024,161,0
30,AZE,2,2,3,7,2024,49,0
30,HRV,2,2,3,7,2024,85,0
32,CUB,2,1,6,9,2024,69,0
33,BHR,2,1,1,4,2024,15,0
34,SVN,2,1,0,3,2024,117,0
35,TWN,2,0,5,7,2024,78,0
36,AUT,2,0,3,5,2024,121,0
37,HKG,2,0,2,4,2024,51,0
37,PHL,2,0,2,4,2024,44,0
39,DZA,2,0,1,3,2024,55,0
39,IDN,2,0,1,3,2024,36,0
41,ISR,1,5,1,7,2024,138,0
42,POL,1,4,5,10,2024,312,0
43,KAZ,1,3,3,7,2024,123,0
44,JAM,1,3,2,6,2024,81,0
44,ZAF,1,3,2,6,2024,161,0
44,THA,1,3,2,6,2024,58,0
47,ETH,1,3,0,4,2024,35,0
48,CHE,1,2,5,8,2024,218,0
49,ECU,1,2,2,5,2024,47,0
50,PRT,1,2,1,4,2024,95,0
51,GRC,1,1,6,8,2024,126,0
52,ARG,1,1,1,3,2024,154,0
52,EGY,1,1,1,3,2024,207,0
52,TUN,1,1,1,3,2024,31,0
55,BWA,1,1,0,2,2024,19,0
55,CHL,1,1,0,2,2024,52,0
55,LCA,1,1,0,2,2024,5,0
55,UGA,1,1,0,2,2024,27,0
59,DOM,1,0,2,3,2024,64,0
60,GTM,1,0,1,2,2024,16,0
60,MAR,1,0,1,2,2024,63,0
62,DMA,1,0,0,1,2024,4,0
62,PAK,1,0,0,1,2024,10,0
64,TUR,0,3,5,8,2024,165,0
65,MEX,0,3,2,5,2024,155,0
66,ARM,0,3,1,4,2024,17,0
66,COL,0,3,1,4,2024,105,0
68,KGZ,0,2,4,6,2024,17,0
68,PRK,0,2,4,6,2024,18,0
70,LTU,0,2,2,4,2024,63,0
71,IND,0,1,5,6,2024,138,0
72,MDA,0,1,3,4,2024,30,0
74,CYP,0,1,0,1,2024,23,0
74,FJI,0,1,0,1,2024,36,0
74,JOR,0,1,0,1,2024,13,0
74,MNG,0,1,0,1,2024,48,0
74,PAN,0,1,0,1,2024,13,0
79,TJK,0,0,3,3,2024,14,0
80,ALB,0,0,2,2,2024,9,0
80,GRD,0,0,2,2,2024,6,0
80,MYS,0,0,2,2,2024,32,0
80,PRI,0,0,2,2,2024,53,0
84,CPV,0,0,1,1,2024,7,0
84,CIV,0,0,1,1,2024,18,0
84,PER,0,0,1,1,2024,32,0
84,QAT,0,0,1,1,2024,13,0
84,SGP,0,0,1,1,2024,32,0
84,SVK,0,0,1,1,2024,38,0
84,ZMB,0,0,1,1,2024,32,0
