NOC,Year,Predicted_Total,
AFG,2024,0.081704543,0 
AHO,2024,0.072593871,0 
ALB,2024,0.20113027,0 
ALG,2024,2.033874005,2 
AND,2024,0.150031114,0 
ANG,2024,0.68869561,1 
ANT,2024,0.164276394,0 
ARG,2024,7.473743735,7 
ARM,2024,3.020618789,3 
ARU,2024,0.193168448,0 
ASA,2024,0.136998722,0 
AUS,2024,43.07939773,38 
AUT,2024,5.850735303,5 
AZE,2024,6.507287185,6 
BAH,2024,2.491727852,2 
BAN,2024,0.266839364,0 
BAR,2024,0.341212983,0 
BDI,2024,0.362544403,0 
BEL,2024,8.576222509,7 
BEN,2024,0.208055216,0 
BER,2024,1.002240035,1 
BHU,2024,0.059621933,0 
BIH,2024,0.325699066,0 
BIZ,2024,0.062823556,0 
BLR,2024,8.481527883,7 
BOH,2024,1.432911154,1 
BOL,2024,0.309067313,0 
BOT,2024,0.951944775,1 
BRA,2024,25.56085707,22 
BRN,2024,1.319647498,1 
BRU,2024,0.051927952,0 
BUL,2024,5.717974968,5 
BUR,2024,0.587210927,1 
CAF,2024,0.17087299,0 
CAM,2024,0.176320792,0 
CAN,2024,24.46982331,21 
CAY,2024,0.16369659,0 
CGO,2024,0.268219162,0 
CHA,2024,0.010319754,0 
CHI,2024,1.661020934,1 
CHN,2024,72.57669602,63 
CIV,2024,1.254387905,1 
CMR,2024,0.562285547,0 
COD,2024,0.142446524,0 
COK,2024,0.300321829,0 
COL,2024,6.553635771,6 
COM,2024,0.070520593,0 
CPV,2024,0.193125445,0 
CRC,2024,0.450609488,0 
CRO,2024,8.132451013,7 
CUB,2024,13.58057632,12 
CYP,2024,0.796209552,1 
CZE,2024,10.62558917,9 
DEN,2024,10.91046048,10 
DJI,2024,0.178722421,0 
DMA,2024,-0.005943756,0 
DOM,2024,3.029455401,3 
ECU,2024,3.075383271,3 
EGY,2024,7.422913923,6 
ERI,2024,0.248865411,0 
ESA,2024,0.34276257,0 
ESP,2024,19.89180039,17 
EST,2024,2.853958074,2 
ETH,2024,3.871742284,3 
FIJ,2024,2.608147389,2 
FIN,2024,3.153780487,3 
FRA,2024,50.43602771,44 
FRG,2024,40.19486182,35 
FSM,2024,0.124729431,0 
GAB,2024,0.420247716,0 
GAM,2024,0.124398081,0 
GBR,2024,55.85976119,49 
GBS,2024,0.133840102,0 
GDR,2024,82.44573283,72 
GEO,2024,5.653602389,5 
GEQ,2024,-0.008232939,0 
GER,2024,39.2447348,34 
GHA,2024,0.840879762,1 
GRE,2024,5.757937647,5 
GRN,2024,0.682299269,1 
GUA,2024,1.039251631,1 
GUI,2024,0.144695759,0 
GUM,2024,0.148185728,0 
GUY,2024,0.145179503,0 
HAI,2024,0.375934191,0 
HKG,2024,3.863988206,3 
HON,2024,0.684118588,1 
HUN,2024,17.43189915,15 
INA,2024,4.030504771,4 
IND,2024,6.751906636,6 
IOA,2024,1.332711551,1 
IRI,2024,7.633622008,7 
IRL,2024,5.532095955,5 
IRQ,2024,0.405947897,0 
ISL,2024,0.323957729,0 
ISR,2024,4.647531174,4 
ISV,2024,0.208386566,0 
ITA,2024,33.86662347,30 
IVB,2024,0.0696481,0 
JAM,2024,9.522748606,8 
JOR,2024,1.256719934,1 
JPN,2024,50.93219778,44 
KAZ,2024,8.710821155,8 
KEN,2024,9.728126487,8 
KGZ,2024,1.436267432,1 
KIR,2024,0.062783608,0 
KOR,2024,21.23533029,19 
KSA,2024,0.737172092,1 
KUW,2024,0.794728253,1 
LAO,2024,0.171414132,0 
LAT,2024,2.322945736,2 
LBA,2024,0.280877201,0 
LBR,2024,0.018969179,0 
LCA,2024,0.139287904,0 
LES,2024,0.164708145,0 
LIB,2024,0.403965798,0 
LIE,2024,0.096342913,0 
LTU,2024,2.570180855,2 
LUX,2024,0.42439842,0 
MAD,2024,0.204352399,0 
MAR,2024,2.356673989,2 
MAS,2024,2.703789532,2 
MAW,2024,0.143823266,0 
MDA,2024,1.181868546,1 
MDV,2024,0.083121233,0 
MEX,2024,6.984412774,6 
MGL,2024,3.403192553,3 
MHL,2024,0.11212879,0 
MKD,2024,0.469413261,0 
MLI,2024,0.187176448,0 
MLT,2024,0.24520055,0 
MNE,2024,1.107787635,1 
MON,2024,0.196730916,0 
MOZ,2024,0.262376501,0 
MRI,2024,0.410617442,0 
MTN,2024,-0.005943756,0 
MYA,2024,0.23560919,0 
NAM,2024,0.550435468,0 
NCA,2024,0.21204638,0 
NED,2024,28.2794771,25 
NEP,2024,0.248750973,0 
NGR,2024,2.507017491,2 
NIG,2024,0.353819424,0 
NOR,2024,7.03467441,6 
NRU,2024,0.03791062,0 
NZL,2024,18.21044162,16 
OMA,2024,0.092231905,0 
PAK,2024,0.262319046,0 
PAN,2024,0.458370034,0 
PAR,2024,0.415192752,0 
PER,2024,1.115808955,1 
PHI,2024,2.416688489,2 
PLE,2024,0.197159612,0 
PLW,2024,0.1754483,0 
PNG,2024,0.324711072,0 
POL,2024,14.572551,13 
POR,2024,4.896194016,4 
PRK,2024,5.898597464,5 
PUR,2024,2.535261402,2 
QAT,2024,3.294185645,3 
ROU,2024,5.770744374,5 
RSA,2024,6.810023368,6 
RWA,2024,0.168195059,0 
SAM,2024,0.327520891,0 
SCG,2024,9.101476116,8 
SEN,2024,0.62824304,1 
SEY,2024,0.332952307,0 
SGP,2024,1.077097742,1 
SKN,2024,0.090432577,0 
SLE,2024,0.080503757,0 
SLO,2024,5.535307128,5 
SMR,2024,1.189789807,1 
SOL,2024,0.0636561,0 
SOM,2024,-0.000535902,0 
SRB,2024,8.904727147,8 
SRI,2024,0.389055469,0 
STP,2024,0.067398866,0 
SUD,2024,0.159585582,0 
SUI,2024,11.13613075,10 
SUR,2024,0.191751758,0 
SVK,2024,4.235716081,4 
SWE,2024,10.48262681,9 
SWZ,2024,0.016640049,0 
SYR,2024,0.689268361,1 
TAN,2024,0.145611254,0 
TCH,2024,11.21151479,10 
TGA,2024,0.214007269,0 
THA,2024,4.083059646,4 
TJK,2024,0.463468482,0 
TKM,2024,0.547201295,0 
TLS,2024,0.056503261,0 
TOG,2024,0.140992941,0 
TPE,2024,7.621506714,7 
TTO,2024,1.372864761,1 
TUN,2024,3.180883494,3 
TUR,2024,10.14551603,9 
TUV,2024,-0.018216103,0 
UAE,2024,0.434787878,0 
UGA,2024,2.707294524,2 
UKR,2024,15.54653733,14 
URU,2024,0.552828426,0 
USA,2024,100.3880961,87 
UZB,2024,9.017666435,8 
VAN,2024,0.154566476,0 
VEN,2024,3.594481702,3 
VIE,2024,2.147635082,2 
VIN,2024,0.070520593,0 
VNM,2024,0.258178543,0 
YEM,2024,0.123853883,0 
YUG,2024,2.661427979,2 
ZAM,2024,0.359100145,0 
ZIM,2024,1.271994802,1 
